"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-2019)","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI2","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Includes information services."
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-2019)","356","IND","India","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI2","Computer services","-","-","-","-","USM","Million US dollar","Coverage","Figures are estimated based on data reported on computer services by the Reserve Bank of India and exclude estimates for Information Technology Enabled Services (ITES) and Business Process Outsourcing Services (BPO) (source:  RBI Survey on Computer Software & Information Technology Services Exports various issues) which have been included under other business services."
"Trade in commercial services","ITS_CS_AM6","Commercial services imports by sector and partner – annual (2005-2019)","356","IND","India","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","-","-","-","-","USM","Million US dollar","Coverage","Adjusted to fob valuation."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Exclude military goods, fissionable materials, bunkers."
"Trade in commercial services","ITS_CS_QM","Commercial services imports by main sector – quarterly","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","-","-","-","-","USM","Million US dollar","Coverage","Travel figures revised from 2014 due to a new compilation methodology."
"Trade in commercial services","ITS_CS_QM","Commercial services imports by main sector – quarterly","156","CHN","China","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","-","-","-","-","USM","Million US dollar","Coverage","Travel figures revised from 2014 due to a new compilation methodology."
"Merchandise trade values","ITS_MTV_MX","Total merchandise exports - monthly","156","CHN","China","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","February 2020 is the cumulative sum of January and February 2020."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","356","IND","India","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Exclude military goods, fissionable materials, bunkers."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","000","","World","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Hong Kong, China's re-exports are included. Beginning 93: figures are affected by the EU Intrastat system of recording trade."
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-2019)","840","USA","United States of America","000","","World","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC22","Freight (Air)","-","-","-","-","USM","Million US dollar","Coverage","Courier services are included in "Air transport freight"."
