Country Sex Age Education Year Month "Value in thousands"
USA T AGE_AGGREGATE_TOTAL Total 2018 M01 7188.921
USA T AGE_AGGREGATE_TOTAL LTB 2018 M01 0
USA T AGE_AGGREGATE_TOTAL BAS 2018 M01 405.636
USA T AGE_AGGREGATE_TOTAL INT 2018 M01 4837.988
USA T AGE_AGGREGATE_TOTAL ADV 2018 M01 1941.547
USA T AGE_AGGREGATE_Y15-24 Total 2018 M01 2029.439
USA T AGE_AGGREGATE_Y15-24 BAS 2018 M01 77.046
USA T AGE_AGGREGATE_Y15-24 INT 2018 M01 1710.243
USA T AGE_AGGREGATE_Y15-24 ADV 2018 M01 242.151
USA T AGE_AGGREGATE_Y25-54 Total 2018 M01 3968.628
USA T AGE_AGGREGATE_Y25-54 BAS 2018 M01 235.405
USA T AGE_AGGREGATE_Y25-54 INT 2018 M01 2454.137
USA T AGE_AGGREGATE_Y25-54 ADV 2018 M01 1279.086
USA T AGE_AGGREGATE_Y55-64 Total 2018 M01 847.806
USA T AGE_AGGREGATE_Y55-64 LTB 2018 M01 0
USA T AGE_AGGREGATE_Y55-64 BAS 2018 M01 65.963
USA T AGE_AGGREGATE_Y55-64 INT 2018 M01 491.165
USA T AGE_AGGREGATE_Y55-64 ADV 2018 M01 286.928
USA T AGE_AGGREGATE_YGE65 Total 2018 M01 343.049
USA T AGE_AGGREGATE_YGE65 BAS 2018 M01 27.222
USA T AGE_AGGREGATE_YGE65 INT 2018 M01 182.444
USA T AGE_AGGREGATE_YGE65 ADV 2018 M01 133.382
USA M AGE_AGGREGATE_TOTAL Total 2018 M01 4078.73
USA M AGE_AGGREGATE_TOTAL LTB 2018 M01 0
USA M AGE_AGGREGATE_TOTAL BAS 2018 M01 266.601
USA M AGE_AGGREGATE_TOTAL INT 2018 M01 2805.194
USA M AGE_AGGREGATE_TOTAL ADV 2018 M01 1006.936
USA M AGE_AGGREGATE_Y15-24 Total 2018 M01 1140.348
USA M AGE_AGGREGATE_Y15-24 BAS 2018 M01 52.74
USA M AGE_AGGREGATE_Y15-24 INT 2018 M01 957.498
USA M AGE_AGGREGATE_Y15-24 ADV 2018 M01 130.109
USA M AGE_AGGREGATE_Y25-54 Total 2018 M01 2215.799
USA M AGE_AGGREGATE_Y25-54 BAS 2018 M01 149.59
USA M AGE_AGGREGATE_Y25-54 INT 2018 M01 1426.651
USA M AGE_AGGREGATE_Y25-54 ADV 2018 M01 639.557
USA M AGE_AGGREGATE_Y55-64 Total 2018 M01 521.978
USA M AGE_AGGREGATE_Y55-64 LTB 2018 M01 0
USA M AGE_AGGREGATE_Y55-64 BAS 2018 M01 44.351
USA M AGE_AGGREGATE_Y55-64 INT 2018 M01 321.052
USA M AGE_AGGREGATE_Y55-64 ADV 2018 M01 156.575
USA M AGE_AGGREGATE_YGE65 Total 2018 M01 200.606
USA M AGE_AGGREGATE_YGE65 BAS 2018 M01 19.919
USA M AGE_AGGREGATE_YGE65 INT 2018 M01 99.994
USA M AGE_AGGREGATE_YGE65 ADV 2018 M01 80.694
USA F AGE_AGGREGATE_TOTAL Total 2018 M01 3110.191
USA F AGE_AGGREGATE_TOTAL LTB 2018 M01 0
USA F AGE_AGGREGATE_TOTAL BAS 2018 M01 139.036
USA F AGE_AGGREGATE_TOTAL INT 2018 M01 2032.795
USA F AGE_AGGREGATE_TOTAL ADV 2018 M01 934.611
USA F AGE_AGGREGATE_Y15-24 Total 2018 M01 889.092
USA F AGE_AGGREGATE_Y15-24 BAS 2018 M01 24.306
USA F AGE_AGGREGATE_Y15-24 INT 2018 M01 752.745
USA F AGE_AGGREGATE_Y15-24 ADV 2018 M01 112.041
USA F AGE_AGGREGATE_Y25-54 Total 2018 M01 1752.829
USA F AGE_AGGREGATE_Y25-54 BAS 2018 M01 85.814
USA F AGE_AGGREGATE_Y25-54 INT 2018 M01 1027.486
USA F AGE_AGGREGATE_Y25-54 ADV 2018 M01 639.529
USA F AGE_AGGREGATE_Y55-64 Total 2018 M01 325.828
USA F AGE_AGGREGATE_Y55-64 LTB 2018 M01 0
USA F AGE_AGGREGATE_Y55-64 BAS 2018 M01 21.612
USA F AGE_AGGREGATE_Y55-64 INT 2018 M01 170.113
USA F AGE_AGGREGATE_Y55-64 ADV 2018 M01 130.353
USA F AGE_AGGREGATE_YGE65 Total 2018 M01 142.442
USA F AGE_AGGREGATE_YGE65 BAS 2018 M01 0
USA F AGE_AGGREGATE_YGE65 INT 2018 M01 82.45
USA F AGE_AGGREGATE_YGE65 ADV 2018 M01 52.688
USA T AGE_YTHADULT_YGE15 Total 2018 M01 7188.921
USA T AGE_YTHADULT_YGE15 LTB 2018 M01 0
USA T AGE_YTHADULT_YGE15 BAS 2018 M01 405.636
USA T AGE_YTHADULT_YGE15 INT 2018 M01 4837.988
USA T AGE_YTHADULT_YGE15 ADV 2018 M01 1941.547
USA T AGE_YTHADULT_Y15-64 Total 2018 M01 6845.872
USA T AGE_YTHADULT_Y15-64 BAS 2018 M01 378.414
USA T AGE_YTHADULT_Y15-64 INT 2018 M01 4655.544
USA T AGE_YTHADULT_Y15-64 ADV 2018 M01 1808.164
USA T AGE_YTHADULT_Y15-24 Total 2018 M01 2029.439
USA T AGE_YTHADULT_Y15-24 BAS 2018 M01 77.046
USA T AGE_YTHADULT_Y15-24 INT 2018 M01 1710.243
USA T AGE_YTHADULT_Y15-24 ADV 2018 M01 242.151
USA T AGE_YTHADULT_YGE25 Total 2018 M01 5159.482
USA T AGE_YTHADULT_YGE25 LTB 2018 M01 0
USA T AGE_YTHADULT_YGE25 BAS 2018 M01 328.59
USA T AGE_YTHADULT_YGE25 INT 2018 M01 3127.746
USA T AGE_YTHADULT_YGE25 ADV 2018 M01 1699.396
USA M AGE_YTHADULT_YGE15 Total 2018 M01 4078.73
USA M AGE_YTHADULT_YGE15 LTB 2018 M01 0
USA M AGE_YTHADULT_YGE15 BAS 2018 M01 266.601
USA M AGE_YTHADULT_YGE15 INT 2018 M01 2805.194
USA M AGE_YTHADULT_YGE15 ADV 2018 M01 1006.936
USA M AGE_YTHADULT_Y15-64 Total 2018 M01 3878.124
USA M AGE_YTHADULT_Y15-64 BAS 2018 M01 246.682
USA M AGE_YTHADULT_Y15-64 INT 2018 M01 2705.2
USA M AGE_YTHADULT_Y15-64 ADV 2018 M01 926.242
USA M AGE_YTHADULT_Y15-24 Total 2018 M01 1140.348
USA M AGE_YTHADULT_Y15-24 BAS 2018 M01 52.74
USA M AGE_YTHADULT_Y15-24 INT 2018 M01 957.498
USA M AGE_YTHADULT_Y15-24 ADV 2018 M01 130.109
USA M AGE_YTHADULT_YGE25 Total 2018 M01 2938.382
USA M AGE_YTHADULT_YGE25 LTB 2018 M01 0
USA M AGE_YTHADULT_YGE25 BAS 2018 M01 213.86
USA M AGE_YTHADULT_YGE25 INT 2018 M01 1847.696
USA M AGE_YTHADULT_YGE25 ADV 2018 M01 876.826
USA F AGE_YTHADULT_YGE15 Total 2018 M01 3110.191
USA F AGE_YTHADULT_YGE15 LTB 2018 M01 0
USA F AGE_YTHADULT_YGE15 BAS 2018 M01 139.036
USA F AGE_YTHADULT_YGE15 INT 2018 M01 2032.795
USA F AGE_YTHADULT_YGE15 ADV 2018 M01 934.611
USA F AGE_YTHADULT_Y15-64 Total 2018 M01 2967.749
USA F AGE_YTHADULT_Y15-64 BAS 2018 M01 131.732
USA F AGE_YTHADULT_Y15-64 INT 2018 M01 1950.344
USA F AGE_YTHADULT_Y15-64 ADV 2018 M01 881.923
USA F AGE_YTHADULT_Y15-24 Total 2018 M01 889.092
USA F AGE_YTHADULT_Y15-24 BAS 2018 M01 24.306
USA F AGE_YTHADULT_Y15-24 INT 2018 M01 752.745
USA F AGE_YTHADULT_Y15-24 ADV 2018 M01 112.041
USA F AGE_YTHADULT_YGE25 Total 2018 M01 2221.099
USA F AGE_YTHADULT_YGE25 LTB 2018 M01 0
USA F AGE_YTHADULT_YGE25 BAS 2018 M01 114.73
USA F AGE_YTHADULT_YGE25 INT 2018 M01 1280.05
USA F AGE_YTHADULT_YGE25 ADV 2018 M01 822.57
USA T AGE_AGGREGATE_TOTAL Total 2018 M02 7090.88
USA T AGE_AGGREGATE_TOTAL LTB 2018 M02 0
USA T AGE_AGGREGATE_TOTAL BAS 2018 M02 417.542
USA T AGE_AGGREGATE_TOTAL INT 2018 M02 4644.256
USA T AGE_AGGREGATE_TOTAL ADV 2018 M02 2015.79
USA T AGE_AGGREGATE_Y15-24 Total 2018 M02 1905.906
USA T AGE_AGGREGATE_Y15-24 LTB 2018 M02 0
USA T AGE_AGGREGATE_Y15-24 BAS 2018 M02 90.453
USA T AGE_AGGREGATE_Y15-24 INT 2018 M02 1589.8
USA T AGE_AGGREGATE_Y15-24 ADV 2018 M02 222.877
USA T AGE_AGGREGATE_Y25-54 Total 2018 M02 3891.399
USA T AGE_AGGREGATE_Y25-54 LTB 2018 M02 0
USA T AGE_AGGREGATE_Y25-54 BAS 2018 M02 214.544
USA T AGE_AGGREGATE_Y25-54 INT 2018 M02 2388.783
USA T AGE_AGGREGATE_Y25-54 ADV 2018 M02 1281.544
USA T AGE_AGGREGATE_Y55-64 Total 2018 M02 945.436
USA T AGE_AGGREGATE_Y55-64 LTB 2018 M02 0
