ref_area,indicator,source,sex,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_TOTAL,2018M01,7188.921,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_LTB,2018M01,,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_BAS,2018M01,405.636,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_INT,2018M01,4837.988,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_ADV,2018M01,1941.547,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_TOTAL,2018M01,2029.439,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_BAS,2018M01,77.046,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_INT,2018M01,1710.243,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y15-24,EDU_AGGREGATE_ADV,2018M01,242.151,,C6:1058,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_TOTAL,2018M01,3968.628,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_BAS,2018M01,235.405,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_INT,2018M01,2454.137,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y25-54,EDU_AGGREGATE_ADV,2018M01,1279.086,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_TOTAL,2018M01,847.806,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_LTB,2018M01,,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_BAS,2018M01,65.963,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_INT,2018M01,491.165,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_Y55-64,EDU_AGGREGATE_ADV,2018M01,286.928,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_YGE65,EDU_AGGREGATE_TOTAL,2018M01,343.049,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_YGE65,EDU_AGGREGATE_BAS,2018M01,27.222,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_YGE65,EDU_AGGREGATE_INT,2018M01,182.444,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_T,AGE_AGGREGATE_YGE65,EDU_AGGREGATE_ADV,2018M01,133.382,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_TOTAL,2018M01,4078.73,,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_LTB,2018M01,,U,,I12:422,R1:3513_T2:85
USA,UNE_TUNE_SEX_AGE_EDU_NB,BA:453,SEX_M,AGE_AGGREGATE_TOTAL,EDU_AGGREGATE_BAS,2018M01,266.601,,,I12:422,R1:3513_T2:85
