location,date,total_cases,new_cases,total_deaths,new_deaths
China,1/23/2020,643,95,18,1
China,1/24/2020,920,277,26,8
China,1/25/2020,1406,486,42,16
China,1/26/2020,2075,669,56,14
China,1/27/2020,2877,802,82,26
China,1/28/2020,5509,2632,131,49
China,1/29/2020,6087,578,133,2
China,1/30/2020,8141,2054,171,38
China,1/31/2020,9802,1661,213,42
China,2/1/2020,11891,2089,259,46
China,2/2/2020,16630,4739,361,102
China,2/3/2020,19716,3086,425,64
China,2/4/2020,23707,3991,491,66
China,2/5/2020,27440,3733,563,72
China,2/6/2020,30587,3147,633,70
China,2/7/2020,34110,3523,718,85
China,2/8/2020,36814,2704,805,87
China,2/9/2020,39829,3015,905,100
China,2/10/2020,42354,2525,1012,107
China,2/11/2020,44386,2032,1112,100
China,2/12/2020,44759,373,1117,5
China,2/13/2020,59895,15136,1369,252
China,2/14/2020,66358,6463,1521,152
China,2/15/2020,68413,2055,1663,142
China,2/16/2020,70513,2100,1766,103
China,2/17/2020,72434,1921,1864,98
China,2/18/2020,74211,1777,2003,139
China,2/19/2020,74619,408,2116,113
China,2/20/2020,75077,458,2238,122
China,2/21/2020,75550,473,2238,0
China,2/22/2020,77001,1451,2443,205
China,2/23/2020,77022,21,2445,2
China,2/24/2020,77241,219,2595,150
China,2/25/2020,77754,513,2665,70
China,2/26/2020,78166,412,2717,52
China,2/27/2020,78600,434,2746,29
China,2/28/2020,78928,328,2790,44
China,2/29/2020,79356,428,2837,47
China,3/1/2020,79932,576,2872,35
China,3/2/2020,80136,204,2914,42
China,3/3/2020,80261,125,2947,33
China,3/4/2020,80386,125,2983,36
China,3/5/2020,80537,151,3015,32
China,3/6/2020,80690,153,3044,29
China,3/7/2020,80770,80,3072,28
China,3/8/2020,80823,53,3100,28
China,3/9/2020,80860,37,3123,23
China,3/10/2020,80887,27,3139,16
China,3/11/2020,80921,34,3161,22
China,3/12/2020,80932,11,3172,11
China,3/13/2020,80945,13,3180,8
China,3/14/2020,80977,32,3193,13
China,3/15/2020,81003,26,3203,10
China,3/16/2020,81033,30,3217,14
China,3/17/2020,81058,25,3230,13
China,3/18/2020,81102,44,3241,11
China,3/19/2020,81156,54,3249,8
China,3/20/2020,81250,94,3253,4
China,3/21/2020,81305,55,3259,6
China,3/22/2020,81435,130,3274,15
China,3/23/2020,81498,63,3274,0
China,3/24/2020,81591,93,3281,7
China,3/25/2020,81661,70,3285,4
China,3/26/2020,81782,121,3291,6
China,3/27/2020,81897,115,3296,5
China,3/28/2020,81999,102,3299,3
China,3/29/2020,82122,123,3304,5
China,3/30/2020,82198,76,3308,4
China,3/31/2020,82279,81,3309,1
China,4/1/2020,82361,82,3316,7
China,4/2/2020,82432,71,3322,6
China,4/3/2020,82511,79,3326,4
China,4/4/2020,82543,32,3330,4
China,4/5/2020,82602,59,3333,3
China,4/6/2020,82665,63,3335,2
China,4/7/2020,82718,53,3335,0
China,4/8/2020,82809,91,3337,2
China,4/9/2020,82883,74,3339,2
China,4/10/2020,82941,58,3340,1
China,4/11/2020,83014,73,3343,3
China,4/12/2020,83134,120,3343,0
China,4/13/2020,83213,79,3345,2
China,4/14/2020,83306,93,3345,0
China,4/15/2020,83356,50,3346,1
China,4/16/2020,83403,47,3346,0
China,4/17/2020,83760,357,4636,1290
China,4/18/2020,83787,27,4636,0
China,4/19/2020,83805,18,4636,0
China,4/20/2020,83817,12,4636,0
China,4/21/2020,83853,36,4636,0
China,4/22/2020,83868,15,4636,0
China,4/23/2020,83884,16,4636,0
China,4/24/2020,83899,15,4636,0
China,4/25/2020,83909,10,4636,0
China,4/26/2020,83912,3,4637,1
China,4/27/2020,83918,6,4637,0
China,4/28/2020,83940,22,4637,0
China,4/29/2020,83944,4,4637,0
China,4/30/2020,83956,12,4637,0
China,5/1/2020,83959,3,4637,0
China,5/2/2020,83959,0,4637,0
China,5/3/2020,83964,5,4637,0
China,5/4/2020,83966,2,4637,0
China,5/5/2020,83968,2,4637,0
China,5/6/2020,83970,2,4637,0
China,5/7/2020,83975,5,4637,0
China,5/8/2020,83976,1,4637,0
China,5/9/2020,83990,14,4637,0
China,5/10/2020,84010,20,4637,0
China,5/11/2020,84011,1,4637,0
China,5/12/2020,84018,7,4637,0
China,5/13/2020,84024,6,4637,0
China,5/14/2020,84029,5,4637,0
China,5/15/2020,84038,9,4637,0
China,5/16/2020,84044,6,4638,1
China,5/17/2020,84054,10,4638,0
China,5/18/2020,84063,9,4638,0
China,5/19/2020,84063,0,4638,0
China,5/20/2020,84063,0,4638,0
China,5/21/2020,84063,0,4638,0
China,5/22/2020,84081,18,4638,0
China,5/23/2020,84084,3,4638,0
China,5/24/2020,84095,11,4638,0
China,5/25/2020,84102,7,4638,0
China,5/26/2020,84103,1,4638,0
China,5/27/2020,84106,3,4638,0
China,5/28/2020,84106,0,4638,0
China,5/29/2020,84123,17,4638,0
China,5/30/2020,84128,5,4638,0
China,5/31/2020,84146,18,4638,0
China,6/1/2020,84154,8,4638,0
China,6/2/2020,84161,7,4638,0
China,6/3/2020,84160,-1,4638,0
China,6/4/2020,84171,11,4638,0
China,6/5/2020,84177,6,4638,0
China,6/6/2020,84186,9,4638,0
China,6/7/2020,84191,5,4638,0
China,6/8/2020,84195,4,4638,0
China,6/9/2020,84198,3,4638,0
China,6/10/2020,84209,11,4638,0
China,6/11/2020,84216,7,4638,0
China,6/12/2020,84228,12,4638,0
China,6/13/2020,84286,58,4638,0
China,6/14/2020,84335,49,4638,0
