Date,Open,High,Low,Close*,Adj Close**,Volume
3/26/21,"32,681.07","33,098.83","32,681.07","33,072.88","33,072.88","3,821,700"
3/25/21,"32,346.81","32,672.69","32,071.41","32,619.48","32,619.48","4,119,900"
3/24/21,"32,470.88","32,787.99","32,418.15","32,420.06","32,420.06","3,993,900"
3/23/21,"32,691.50","32,753.77","32,356.28","32,423.15","32,423.15","3,858,400"
3/22/21,"32,601.82","32,810.35","32,512.53","32,731.20","32,731.20","3,835,000"
3/19/21,"32,858.36","32,858.36","32,505.07","32,627.97","32,627.97","8,118,900"
3/18/21,"32,928.16","33,227.78","32,831.25","32,862.30","32,862.30","4,184,800"
3/17/21,"32,825.52","33,047.58","32,782.18","33,015.37","33,015.37","3,912,000"
3/16/21,"32,966.75","32,966.75","32,778.23","32,825.95","32,825.95","3,863,700"
3/15/21,"32,798.84","32,973.40","32,629.75","32,953.46","32,953.46","3,600,800"
3/12/21,"32,462.40","32,793.32","32,462.40","32,778.64","32,778.64","3,464,000"
3/11/21,"32,354.50","32,661.59","32,345.70","32,485.59","32,485.59","4,000,200"
3/10/21,"31,906.96","32,389.50","31,906.96","32,297.02","32,297.02","4,091,100"
3/9/21,"31,892.35","32,150.32","31,822.64","31,832.74","31,832.74","4,586,900"
3/8/21,"31,512.15","32,148.04","31,512.15","31,802.44","31,802.44","4,969,800"
3/5/21,"31,029.18","31,580.33","30,766.81","31,496.30","31,496.30","5,018,100"
3/4/21,"31,289.01","31,461.97","30,547.53","30,924.14","30,924.14","5,378,500"
3/3/21,"31,352.96","31,563.31","31,260.14","31,270.09","31,270.09","4,096,600"
3/2/21,"31,535.37","31,623.27","31,377.16","31,391.52","31,391.52","3,372,700"
3/1/21,"31,065.90","31,668.34","31,065.90","31,535.51","31,535.51","3,856,700"
2/26/21,"31,401.29","31,450.89","30,911.37","30,932.37","30,932.37","5,322,500"
2/25/21,"31,955.94","31,984.77","31,293.32","31,402.01","31,402.01","4,541,100"
2/24/21,"31,499.75","32,009.64","31,421.29","31,961.86","31,961.86","4,101,500"
2/23/21,"31,501.89","31,653.38","31,158.76","31,537.35","31,537.35","4,604,100"
