Date,Open,High,Low,Close,Adj Close,Volume
1/2/20,1518.09998,1528.69995,1518,1524.5,1524.5,214
1/3/20,1530.09998,1552.69995,1530.09998,1549.19995,1549.19995,107
1/6/20,1580,1580,1560.40002,1566.19995,1566.19995,416
1/7/20,1558.30005,1576.30005,1558.30005,1571.80005,1571.80005,47
1/8/20,1579.69995,1604.19995,1552.30005,1557.40002,1557.40002,236
1/9/20,1555.69995,1555.69995,1543.30005,1551.69995,1551.69995,54
1/10/20,1551.19995,1558.80005,1545.40002,1557.5,1557.5,16
1/13/20,1557.40002,1558,1548.40002,1548.40002,1548.40002,48
1/14/20,1546.69995,1546.69995,1534.90002,1542.40002,1542.40002,32
1/15/20,1548,1553.90002,1545.59998,1552.09998,1552.09998,11
1/16/20,1555.69995,1556.09998,1548.5,1549,1549,98
1/17/20,1554.09998,1558.80005,1553.59998,1558.80005,1558.80005,108
1/21/20,1559.30005,1566.19995,1551,1556.40002,1556.40002,45
1/22/20,1549.80005,1557.09998,1549.80005,1555.30005,1555.30005,42
1/23/20,1553.09998,1564.59998,1552.19995,1564.59998,1564.59998,15
1/24/20,1556.30005,1571.09998,1556.30005,1571.09998,1571.09998,43
1/27/20,1584.30005,1584.5,1576.80005,1576.80005,1576.80005,22
1/28/20,1576.40002,1576.40002,1569.19995,1569.19995,1569.19995,3
1/29/20,1569.80005,1569.80005,1569.80005,1569.80005,1569.80005,251274
1/30/20,1576.80005,1585,1571.40002,1583.5,1583.5,62336
1/31/20,1573.40002,1589,1570,1582.90002,1582.90002,1095
2/3/20,1592.90002,1593.30005,1568.19995,1577.19995,1577.19995,1062
2/4/20,1577.69995,1577.69995,1547.80005,1550.40002,1550.40002,978
2/5/20,1553.19995,1560.69995,1547.69995,1557.80005,1557.80005,1305
2/6/20,1553.59998,1565.59998,1551.59998,1565.09998,1565.09998,110
2/7/20,1564.90002,1571.90002,1560.5,1568.59998,1568.59998,431
2/10/20,1569.30005,1574.69995,1568.59998,1574.69995,1574.69995,128
2/11/20,1570.90002,1571.09998,1561.90002,1565.59998,1565.59998,440
2/12/20,1565.19995,1568.69995,1561,1567.40002,1567.40002,36
2/13/20,1570.19995,1575.09998,1570.19995,1575.09998,1575.09998,74
2/14/20,1575.80005,1582.69995,1574.80005,1582.69995,1582.69995,68
2/18/20,1579.80005,1604.30005,1579.80005,1600,1600,310
2/19/20,1600.59998,1610.5,1599.69995,1607.5,1607.5,542
2/20/20,1606.5,1621,1603,1616.59998,1616.59998,117
2/21/20,1619.30005,1645,1619.30005,1644.59998,1644.59998,186
2/24/20,1657,1686.59998,1650,1672.40002,1672.40002,435
2/25/20,1645.09998,1653.69995,1632.30005,1646.90002,1646.90002,409
2/26/20,1644,1648.09998,1636.40002,1640,1640,1990
2/27/20,1641.09998,1658,1638.5,1640,1640,707
2/28/20,1640.30005,1642.5,1564.09998,1564.09998,1564.09998,289
3/2/20,1583.90002,1608.30005,1574.30005,1592.30005,1592.30005,537
3/3/20,1594.5,1645.30005,1594,1642.09998,1642.09998,610
3/4/20,1645.40002,1645.90002,1631.30005,1641.09998,1641.09998,83
3/5/20,1637.30005,1672.90002,1637.19995,1666.40002,1666.40002,154
3/6/20,1670.80005,1686.19995,1647.19995,1670.80005,1670.80005,175
3/9/20,1696.09998,1701.59998,1657.69995,1674.5,1674.5,161
3/10/20,1671.59998,1674.59998,1643,1659.09998,1659.09998,48
3/11/20,1656.59998,1666.5,1635,1641.40002,1641.40002,47
3/12/20,1637,1647.5,1566.40002,1589.30005,1589.30005,256
3/13/20,1574.90002,1589.80005,1513.80005,1515.69995,1515.69995,89
3/16/20,1569.09998,1569.09998,1452.09998,1485.90002,1485.90002,193
3/17/20,1469.30005,1537.69995,1469.30005,1524.90002,1524.90002,122
3/18/20,1537.5,1542,1477.30005,1477.30005,1477.30005,333
3/19/20,1481.5,1491.59998,1471,1478.59998,1478.59998,262
3/20/20,1483.5,1484,1483.5,1484,1484,14
3/23/20,1505.30005,1567,1490.19995,1567,1567,51
3/24/20,1592.69995,1685.5,1592.69995,1660.19995,1660.19995,442
3/25/20,1676.5,1676.5,1631.09998,1632.30005,1632.30005,476
3/26/20,1660.5,1660.5,1650.09998,1650.09998,1650.09998,3
3/27/20,1623.90002,1623.90002,1623.90002,1623.90002,1623.90002,100638
3/30/20,1641.19995,1652.80005,1607.19995,1622,1622,16389
3/31/20,1618.69995,1621,1576,1583.40002,1583.40002,2874
4/1/20,1570,1600,1570,1578.19995,1578.19995,2158
4/2/20,1590.90002,1631.19995,1586,1625.69995,1625.69995,1294
4/3/20,1624.5,1636,1619.80005,1633.69995,1633.69995,643
4/6/20,1629.09998,1696.69995,1625.90002,1677,1677,1063
4/7/20,1695.69995,1724.40002,1658,1664.80005,1664.80005,1144
4/8/20,1669.69995,1677,1662.5,1665.40002,1665.40002,747
4/9/20,1662.69995,1736.19995,1662.69995,1736.19995,1736.19995,825
4/13/20,1722,1756.80005,1710.69995,1744.80005,1744.80005,696
