Date,Open China,High China,Low China,Close China,Adj Close China,Volume China,Open India,High India,Low India,Close India,Adj Close India,Volume India,Open Italy,High Italy,Low Italy,Close Italy,Adj Close Italy,Volume Italy,Open Spain,High Spain,Low Spain,Close Spain,Adj Close Spain,Volume Spain
2020-01-02,28249.369141000006,28543.519531,28245.970702999995,28543.519531,28543.519531,1262732800,12198.5498,12289.9004,12195.25,12282.2002,12282.2002,407700.0,,,,,,,,,,,,
2020-01-03,28828.359375,28883.300781,28428.169922000005,28451.5,28451.5,1797904800,12261.0996,12265.5996,12191.3496,12226.6504,12226.6504,428800.0,,,,,,,,,,,,
2020-01-06,28326.5,28367.869141000006,28054.289063,28226.189452999995,28226.189452999995,1793426600,12170.5996,12179.0996,11974.2002,11993.0498,11993.0498,396500.0,,,,,,,,,,,,
2020-01-07,28352.679688,28473.080077999995,28264.070313,28322.060547000005,28322.060547000005,1302687200,12079.0996,12152.1504,12005.3496,12052.9502,12052.9502,447800.0,,,,,,,,,,,,
2020-01-08,27999.580077999995,28198.609375,27857.730469,28087.919922000005,28087.919922000005,1709241600,11939.0996,12044.9502,11929.5996,12025.3496,12025.3496,446000.0,,,,,,,,,,,,
2020-01-09,28367.650391000006,28561.0,28325.859375,28561.0,28561.0,1692786200,12153.1504,12224.0498,12132.5498,12215.9004,12215.9004,477500.0,,,,,,,,,,,,
2020-01-10,28665.140625,28665.140625,28504.269531,28638.199219,28638.199219,1448401000,12271.0,12311.2002,12213.2002,12256.7998,12256.7998,660600.0,,,,,,,,,,,,
2020-01-13,28772.369141000006,28971.400391000006,28671.839844,28954.939452999995,28954.939452999995,1765055700,12296.7002,12337.75,12285.7998,12329.5498,12329.5498,501000.0,,,,,,,,,,,,
2020-01-14,29149.529297000005,29149.529297000005,28790.490234,28885.140625,28885.140625,1643504700,12333.0996,12374.25,12308.7002,12362.2998,12362.2998,616300.0,,,,,,,,,,,,
2020-01-15,28891.070313,28972.679688,28619.099609,28773.589844,28773.589844,1240120700,12349.4004,12355.1504,12278.75,12343.2998,12343.2998,684400.0,,,,,,,,,,,,
2020-01-16,28806.119141000006,28987.730469,28709.570313,28883.039063,28883.039063,1620926200,12347.0996,12389.0498,12315.7998,12355.5,12355.5,395700.0,,,,,,,,,,,,
2020-01-17,28988.160156,29101.150391000006,28813.130859,29056.419922000005,29056.419922000005,1545082800,12328.4004,12385.4502,12321.4004,12352.3496,12352.3496,502100.0,,,,,,,,,,,,
2020-01-20,29169.119141000006,29174.919922000005,28795.419922000005,28795.910156,28795.910156,1633383900,12430.5,12430.5,12216.9004,12224.5498,12224.5498,491600.0,,,,,,,,,,,,
2020-01-21,28449.380859,28492.029297000005,27980.5,27985.330077999995,27985.330077999995,2236521700,12195.2998,12230.0498,12162.2998,12169.8496,12169.8496,400.0,,,,,,,,,,,,
2020-01-22,28116.5,28393.929688,27937.679688,28341.039063,28341.039063,1343288100,12218.3496,12225.0498,12087.9004,12106.9004,12106.9004,500.0,,,,,,,,,,,,
2020-01-23,28109.75,28133.029297000005,27706.369141000006,27909.119141000006,27909.119141000006,1753263000,12123.75,12189.0,12094.0996,12180.3496,12180.3496,867700.0,,,,,,,,,,,,
2020-01-24,27935.419922000005,27977.630859,27774.5,27949.640625,27949.640625,612128700,12174.5498,12272.1504,12149.6504,12248.25,12248.25,593200.0,,,,,,,,,,,,
2020-01-29,27101.539063,27333.300781,27101.539063,27160.630859,27160.630859,2203836100,12114.9004,12169.5996,12103.7998,12129.5,12129.5,514400.0,,,,,,,,,,,,
2020-01-30,27030.609375,27134.550781,26330.050781,26449.130859,26449.130859,2223567800,12147.75,12150.2998,12010.5996,12035.7998,12035.7998,538100.0,,,,,,,,,,,,
2020-01-31,26757.609375,26818.839844,26295.490234,26312.630859,26312.630859,1874255200,12100.4004,12103.5498,11945.8496,11962.0996,11962.0996,771300.0,,,,,,,,,,,,
2020-02-03,26189.609375,26512.580078,26145.589844,26356.980469,26356.980469,2421482700,11627.4502,11749.8496,11614.5,11707.9004,11707.9004,669800.0,,,,,,,,,,,,
2020-02-04,26491.660156,26730.259766,26491.660156,26675.980469,26675.980469,2500238100,11786.25,11986.1504,11783.4004,11979.6504,11979.6504,560400.0,,,,,,,,,,,,
2020-02-05,26869.320313,26926.119141000006,26641.919922,26786.740234,26786.740234,2498930800,12005.8496,12098.1504,11953.3496,12089.1504,12089.1504,758000.0,,,,,,,,,,,,
2020-02-06,27174.529297000005,27608.220702999995,27029.490234,27493.699219,27493.699219,2249533900,12120.0,12160.5996,12084.6504,12137.9502,12137.9502,565100.0,,,,,,,,,,,,
2020-02-07,27356.279297000005,27410.580077999995,27224.119141000006,27404.269531,27404.269531,1464514700,12151.1504,12154.7002,12073.9502,12098.3496,12098.3496,473500.0,,,,,,,,,,,,
2020-02-10,27092.150391000006,27314.640625,27044.880859,27241.339844,27241.339844,1612017900,12102.3496,12103.5498,11990.75,12031.5,12031.5,524700.0,,,,,,,,,,,,
2020-02-11,27514.25,27674.810547000005,27436.990234,27583.880859,27583.880859,1868625400,12108.4004,12172.2998,12099.0,12107.9004,12107.9004,480000.0,24617.0,24763.0,24534.0,24689.0,24689.0,405685400.0,"9,863.40","9,884.00","9,817.80","9,882.60","9,882.60","167,628,300"
2020-02-12,27717.220702999995,27892.480469,27614.830077999995,27823.660156,27823.660156,1796561200,12151.0,12231.75,12144.2998,12201.2002,12201.2002,411700.0,24738.0,24902.0,24735.0,24861.0,24861.0,462480100.0,"9,897.90","9,946.60","9,888.60","9,940.40","9,940.40","199,830,200"
2020-02-13,27953.650391000006,27953.650391000006,27695.599609,27730.0,27730.0,1617010200,12219.5498,12225.6504,12139.7998,12174.6504,12174.6504,501200.0,24769.0,24892.0,24588.0,24892.0,24892.0,526068000.0,"9,893.90","9,910.10","9,794.30","9,909.80","9,909.80","161,753,500"
2020-02-14,27698.560547000005,27960.660156,27695.589844,27815.599609,27815.599609,1445335900,12190.1504,12246.7002,12091.2002,12113.4502,12113.4502,622800.0,24942.0,24983.0,24832.0,24867.0,24867.0,341383900.0,"9,910.90","9,969.70","9,905.20","9,956.80","9,956.80","127,061,800"
2020-02-17,27766.710938,28055.580077999995,27766.710938,27959.599609,27959.599609,1412999200,12131.7998,12159.5996,12037.0,12045.7998,12045.7998,0.0,24962.0,25121.0,24903.0,25121.0,25121.0,0.0,"9,979.20","10,022.20","9,955.20","10,022.20","10,022.20","105,784,200"
2020-02-18,27766.5,27771.300781,27496.25,27530.199219,27530.199219,1592221400,12028.25,12030.75,11908.0498,11992.5,11992.5,676900.0,24986.0,25389.0,24970.0,25224.0,25224.0,737036300.0,"9,977.40","10,041.50","9,967.80","10,005.80","10,005.80","184,042,000"
2020-02-19,27486.460938,27697.460938,27448.599609,27655.810547000005,27655.810547000005,1471538100,12090.5996,12134.7002,12042.0996,12125.9004,12125.9004,513600.0,25353.0,25483.0,25272.0,25478.0,25478.0,464703000.0,"10,042.00","10,100.20","10,020.70","10,083.60","10,083.60","151,866,100"
2020-02-20,27767.279297000005,27767.279297000005,27383.130859,27609.160156,27609.160156,1582073100,12119.0,12152.0,12071.4502,12080.8496,12080.8496,502600.0,25415.0,25420.0,25080.0,25080.0,25080.0,445153900.0,"10,048.70","10,050.30","9,931.00","9,931.00","9,931.00","178,849,000"
