Date,Open,High,Low,Close,Adj Close,Volume
1/2/20,61.599998,61.599998,60.639999,61.18,61.18,486873
1/3/20,61.18,64.089996,61.130001,63.049999,63.049999,885861
1/6/20,63.709999,64.720001,62.639999,63.27,63.27,724236
1/7/20,62.91,63.150002,62.110001,62.700001,62.700001,582649
1/8/20,62.84,65.650002,59.150002,59.610001,59.610001,1205710
1/9/20,59.990002,60.310001,58.66,59.560001,59.560001,750933
1/10/20,59.610001,59.779999,58.849998,59.040001,59.040001,596186
1/13/20,59.040001,59.27,57.91,58.080002,58.080002,584002
1/14/20,58.029999,58.720001,57.720001,58.23,58.23,507714
1/15/20,58.200001,58.360001,57.360001,57.810001,57.810001,433169
1/16/20,58.099998,58.869999,57.560001,58.52,58.52,182871
1/17/20,58.59,58.98,58.27,58.540001,58.540001,122561
1/21/20,59.169998,59.73,57.68,58.34,58.34,648335
1/22/20,58.259998,58.380001,56.029999,56.740002,56.740002,620119
1/23/20,56.110001,56.27,54.77,55.59,55.59,703995
1/24/20,55.689999,55.950001,53.849998,54.189999,54.189999,586195
1/27/20,53.700001,53.709999,52.130001,53.139999,53.139999,712880
1/28/20,52.77,54.060001,52.68,53.48,53.48,633963
1/29/20,53.970001,54.369999,52.810001,53.330002,53.330002,624979
1/30/20,53.09,53.200001,51.66,52.139999,52.139999,720123
1/31/20,52.919998,53.360001,50.970001,51.560001,51.560001,827907
2/3/20,51.009998,51.970001,49.799999,50.110001,50.110001,876044
2/4/20,49.939999,51.549999,49.310001,49.610001,49.610001,859357
2/5/20,49.509998,51.880001,49.470001,50.75,50.75,887946
2/6/20,51.169998,52.200001,50.240002,50.950001,50.950001,750659
2/7/20,51.110001,51.48,50.09,50.32,50.32,768345
2/10/20,50.119999,50.490002,49.419998,49.57,49.57,715894
2/11/20,49.610001,50.689999,49.580002,49.939999,49.939999,725733
2/12/20,49.959999,51.73,49.950001,51.169998,51.169998,795256
2/13/20,51.720001,51.959999,50.599998,51.419998,51.419998,745400
2/14/20,51.509998,52.34,51.32,52.049999,52.049999,607343
2/18/20,52.23,52.41,50.880001,52.049999,52.049999,221774
2/19/20,52.119999,53.66,51.93,53.290001,53.290001,113683
2/20/20,53.5,54.5,53.220001,53.779999,53.779999,676179
2/21/20,53.740002,53.860001,52.549999,53.380001,53.380001,707555
2/24/20,52.599998,52.639999,50.450001,51.43,51.43,765515
2/25/20,51.369999,52.02,49.689999,49.900002,49.900002,764989
2/26/20,50.080002,50.439999,48.299999,48.73,48.73,884482
2/27/20,48.630001,48.779999,45.880001,47.09,47.09,1011915
2/28/20,46.490002,47.029999,43.849998,44.759998,44.759998,1101659
3/2/20,43.700001,47.560001,43.32,46.75,46.75,949471
3/3/20,47.720001,48.66,46.470001,47.18,47.18,1011933
3/4/20,46.939999,48.41,46.650002,46.779999,46.779999,745856
3/5/20,47.130001,47.57,45.650002,45.900002,45.900002,704591
3/6/20,46.09,46.380001,41.049999,41.279999,41.279999,1276180
3/9/20,32.869999,34.880001,27.34,31.129999,31.129999,1774383
3/10/20,30.370001,35.02,30.200001,34.360001,34.360001,1064632
3/11/20,34.619999,36.349998,32.560001,32.98,32.98,874646
3/12/20,33.07,33.630001,30.02,31.5,31.5,1025036
3/13/20,30.77,33.869999,30.33,31.73,31.73,743129
3/16/20,33.75,33.75,28.1,28.700001,28.700001,698829
3/17/20,28.690001,30.299999,26.629999,26.950001,26.950001,545820
3/18/20,26.940001,27.219999,20.059999,20.370001,20.370001,309481
3/19/20,22.299999,27.709999,21.360001,25.219999,25.219999,136722
3/20/20,24.73,27.889999,19.459999,22.43,22.43,1133808
3/23/20,22.52,24.07,20.799999,23.360001,23.360001,852951
3/24/20,23.870001,25.16,23.09,24.01,24.01,659697
3/25/20,24.370001,25.24,22.91,24.49,24.49,618725
3/26/20,24.25,24.65,22.379999,22.6,22.6,633877
3/27/20,23.290001,23.440001,20.879999,21.51,21.51,603124
3/30/20,20.93,20.93,19.27,20.09,20.09,758711
3/31/20,20.23,21.889999,20.01,20.48,20.48,660082
4/1/20,20.1,21.549999,19.9,20.309999,20.309999,703286
4/2/20,21.219999,27.389999,20.76,25.32,25.32,1095972
4/3/20,24.809999,29.129999,23.52,28.34,28.34,1007577
4/6/20,26.09,28.24,25.280001,26.08,26.08,752710
4/7/20,26.34,27.24,23.540001,23.629999,23.629999,797707
4/8/20,24.299999,26.450001,23.74,25.09,25.09,823554
4/9/20,26.280001,28.360001,22.57,22.76,22.76,1122149
4/13/20,24.6,24.74,22.030001,22.41,22.41,775120
4/14/20,22.360001,23.08,19.950001,20.110001,20.110001,785478
4/15/20,20.719999,20.889999,19.200001,19.870001,19.870001,544797
4/16/20,20.15,20.530001,19.42,19.870001,19.870001,350942
4/17/20,20,20.219999,17.309999,18.27,18.27,240628
4/20/20,17.73,17.85,-40.32,-37.630001,-37.630001,247947
4/21/20,-14,13.86,-16.74,10.01,10.01,2288230
4/22/20,13.12,16.18,10.26,13.78,13.78,1235218
4/23/20,14.2,18.26,13.35,16.5,16.5,833584
4/24/20,16.780001,17.969999,15.64,16.940001,16.940001,600220
4/27/20,16.84,16.98,11.88,12.78,12.78,623201
4/28/20,12.96,13.69,10.07,12.34,12.34,897087
4/29/20,13.35,16.780001,12.67,15.06,15.06,554134
4/30/20,15.64,19.440001,15.45,18.84,18.84,545344
5/1/20,19.040001,20.48,18.07,19.780001,19.780001,403201
5/4/20,19.110001,21.42,18.049999,20.389999,20.389999,311488
5/5/20,21.24,25.49,21.129999,24.559999,24.559999,387240
5/6/20,25.52,26.08,22.58,23.99,23.99,381165
5/7/20,24.09,26.74,22.940001,23.549999,23.549999,310261
5/8/20,23.35,24.99,23.26,24.74,24.74,205181
5/11/20,24.49,25.58,23.67,24.139999,24.139999,179591
5/12/20,24.49,26.23,24.219999,25.780001,25.780001,212335
5/13/20,25.299999,26.450001,24.790001,25.290001,25.290001,150864
5/14/20,25.559999,27.959999,25.18,27.559999,27.559999,160507
5/15/20,27.639999,29.92,27.24,29.43,29.43,108016
5/18/20,29.530001,33.32,29.530001,31.82,31.82,89376
5/19/20,32.830002,33.439999,31.34,32.5,32.5,430823
5/20/20,31.889999,33.779999,31.559999,33.490002,33.490002,406431
5/21/20,33.529999,34.66,33.259998,33.919998,33.919998,372814
5/22/20,33.950001,34,30.719999,33.25,33.25,429036
5/26/20,33.299999,34.810001,32.48,34.349998,34.349998,466737
5/27/20,34.139999,34.32,31.75,32.810001,32.810001,415246
