Date,Open,High,Low,Close,Adj Close,Volume
1/2/20,"9,639.10","9,705.40","9,615.10","9,691.20","9,691.20","142,379,600"
1/3/20,"9,631.20","9,650.70","9,581.20","9,646.60","9,646.60","135,130,000"
1/6/20,"9,585.40","9,618.20","9,492.70","9,600.90","9,600.90","103,520,400"
1/7/20,"9,623.10","9,657.90","9,557.90","9,579.80","9,579.80","133,476,100"
1/8/20,"9,535.10","9,604.30","9,520.30","9,591.40","9,591.40","133,957,600"
1/9/20,"9,629.20","9,644.80","9,573.80","9,581.80","9,581.80","151,793,500"
1/10/20,"9,611.30","9,623.60","9,557.90","9,573.60","9,573.60","132,894,500"
1/13/20,"9,586.60","9,586.60","9,507.40","9,543.90","9,543.90","124,149,000"
1/14/20,"9,548.10","9,548.40","9,466.00","9,528.30","9,528.30","143,774,600"
1/15/20,"9,521.20","9,530.20","9,475.00","9,511.70","9,511.70","161,995,000"
1/16/20,"9,516.70","9,579.50","9,481.60","9,572.50","9,572.50","133,841,500"
1/17/20,"9,616.10","9,709.90","9,611.30","9,681.30","9,681.30","159,823,200"
1/20/20,"9,676.60","9,680.90","9,623.10","9,658.80","9,658.80","99,959,200"
1/21/20,"9,593.40","9,620.70","9,550.00","9,611.30","9,611.30","126,448,800"
1/22/20,"9,622.00","9,632.80","9,557.00","9,573.70","9,573.70","134,567,800"
1/23/20,"9,549.40","9,604.70","9,499.30","9,518.50","9,518.50","169,141,000"
1/24/20,"9,576.80","9,639.90","9,552.50","9,562.00","9,562.00","154,731,100"
1/27/20,"9,447.10","9,482.80","9,357.80","9,366.30","9,366.30","164,515,500"
1/28/20,"9,401.80","9,488.00","9,363.80","9,484.20","9,484.20","154,919,400"
1/29/20,"9,532.70","9,574.30","9,510.70","9,546.70","9,546.70","187,145,800"
1/30/20,"9,460.80","9,528.40","9,439.30","9,477.90","9,477.90","164,094,200"
1/31/20,"9,519.30","9,545.10","9,365.10","9,367.90","9,367.90","303,553,700"
2/3/20,"9,404.40","9,431.60","9,361.50","9,404.70","9,404.70","168,665,700"
2/4/20,"9,465.90","9,577.30","9,462.40","9,562.90","9,562.90","174,133,900"
2/5/20,"9,553.40","9,721.90","9,540.20","9,717.80","9,717.80","221,922,900"
2/6/20,"9,767.10","9,816.20","9,757.00","9,811.30","9,811.30","248,416,700"
2/7/20,"9,789.30","9,816.20","9,761.80","9,811.00","9,811.00","179,586,900"
2/10/20,"9,790.60","9,820.40","9,773.50","9,816.00","9,816.00","132,132,500"
2/11/20,"9,863.40","9,884.00","9,817.80","9,882.60","9,882.60","167,628,300"
2/12/20,"9,897.90","9,946.60","9,888.60","9,940.40","9,940.40","199,830,200"
2/13/20,"9,893.90","9,910.10","9,794.30","9,909.80","9,909.80","161,753,500"
2/14/20,"9,910.90","9,969.70","9,905.20","9,956.80","9,956.80","127,061,800"
2/17/20,"9,979.20","10,022.20","9,955.20","10,022.20","10,022.20","105,784,200"
2/18/20,"9,977.40","10,041.50","9,967.80","10,005.80","10,005.80","184,042,000"
2/19/20,"10,042.00","10,100.20","10,020.70","10,083.60","10,083.60","151,866,100"
2/20/20,"10,048.70","10,050.30","9,931.00","9,931.00","9,931.00","178,849,000"
2/21/20,"9,893.00","9,946.40","9,843.50","9,886.20","9,886.20","194,954,500"
2/24/20,"9,649.80","9,676.80","9,459.60","9,483.50","9,483.50","256,063,800"
2/25/20,"9,507.00","9,518.90","9,248.00","9,250.80","9,250.80","263,346,200"
2/26/20,"9,213.00","9,362.80","9,030.70","9,316.80","9,316.80","299,256,300"
2/27/20,"9,182.20","9,204.40","8,877.40","8,985.90","8,985.90","341,792,600"
2/28/20,"8,748.10","8,818.60","8,582.70","8,723.20","8,723.20","497,983,900"
3/2/20,"8,910.20","8,913.50","8,541.10","8,741.50","8,741.50","355,485,000"
3/3/20,"8,860.20","9,014.30","8,776.40","8,811.60","8,811.60","351,219,900"
3/4/20,"8,827.80","8,963.70","8,745.90","8,910.00","8,910.00","321,258,300"
3/5/20,"8,960.80","8,962.50","8,639.90","8,683.00","8,683.00","342,803,500"
3/6/20,"8,532.60","8,542.00","8,310.40","8,375.60","8,375.60","345,901,100"
3/9/20,"7,884.00","8,022.90","7,621.40","7,708.70","7,708.70","598,769,200"
3/10/20,"7,815.60","8,007.70","7,440.60","7,461.50","7,461.50","506,034,000"
3/11/20,"7,589.30","7,717.10","7,364.60","7,436.40","7,436.40","369,150,100"
3/12/20,"7,040.80","7,077.70","6,347.00","6,390.90","6,390.90","723,609,100"
3/13/20,"6,763.70","7,140.50","6,468.30","6,629.60","6,629.60","473,165,800"
3/16/20,"6,331.00","6,362.50","5,814.50","6,107.20","6,107.20","583,614,700"
3/17/20,"6,444.50","6,557.30","6,083.00","6,498.50","6,498.50","388,451,800"
3/18/20,"6,370.50","6,524.20","6,174.10","6,274.80","6,274.80","398,609,500"
3/19/20,"6,368.20","6,506.40","6,228.30","6,395.80","6,395.80","346,225,500"
3/20/20,"6,645.40","6,769.90","6,371.10","6,443.30","6,443.30","486,796,200"
3/23/20,"6,223.70","6,472.00","6,148.00","6,230.20","6,230.20","282,033,200"
3/24/20,"6,433.30","6,717.30","6,403.60","6,717.30","6,717.30","301,211,900"
3/25/20,"6,985.90","7,058.10","6,625.80","6,942.40","6,942.40","322,631,900"
3/26/20,"6,789.00","7,033.20","6,759.10","7,033.20","7,033.20","248,806,600"
3/27/20,"6,916.70","6,936.70","6,661.90","6,777.90","6,777.90","225,316,500"
3/30/20,"6,748.60","6,789.10","6,507.00","6,659.90","6,659.90","232,005,200"
3/31/20,"6,746.80","6,802.00","6,624.70","6,785.40","6,785.40","258,181,200"
4/1/20,"6,627.30","6,687.80","6,565.20","6,579.40","6,579.40","235,113,700"
4/2/20,"6,633.70","6,658.90","6,424.50","6,574.10","6,574.10","233,309,800"
4/3/20,"6,563.60","6,632.50","6,509.40","6,581.60","6,581.60","215,387,500"
4/6/20,"6,807.90","6,874.90","6,728.60","6,844.30","6,844.30","225,965,400"
4/7/20,"6,986.90","7,119.10","6,903.60","7,002.00","7,002.00","260,857,500"
4/8/20,"6,930.20","6,952.50","6,860.60","6,951.80","6,951.80","155,910,100"
4/9/20,"7,049.30","7,116.80","6,918.70","7,070.60","7,070.60","240,348,600"
4/14/20,"7,209.70","7,209.70","7,080.30","7,108.60","7,108.60","259,986,200"
4/15/20,"7,065.60","7,086.80","6,816.40","6,839.50","6,839.50","289,924,500"
4/16/20,"6,930.80","6,950.90","6,733.10","6,763.40","6,763.40","237,962,600"
4/17/20,"6,942.50","7,000.30","6,845.00","6,875.80","6,875.80","251,272,600"
4/20/20,"6,932.50","6,933.30","6,715.00","6,831.50","6,831.50","186,644,500"
4/21/20,"6,741.30","6,760.90","6,634.90","6,634.90","6,634.90","200,783,000"
4/22/20,"6,685.10","6,729.60","6,654.20","6,719.80","6,719.80","177,928,500"
4/23/20,"6,758.70","6,797.60","6,713.60","6,746.50","6,746.50","163,723,500"
4/24/20,"6,641.30","6,710.80","6,578.10","6,613.90","6,613.90","182,925,300"
4/27/20,"6,780.90","6,790.10","6,667.30","6,731.80","6,731.80","147,263,100"
4/28/20,"6,724.60","6,857.90","6,707.90","6,836.40","6,836.40","233,782,400"
4/29/20,"6,829.40","7,055.70","6,816.80","7,055.70","7,055.70","247,762,400"
4/30/20,"7,084.80","7,128.40","6,918.30","6,922.30","6,922.30","314,979,200"
5/4/20,"6,767.70","6,767.70","6,673.30","6,673.30","6,673.30","241,555,200"
5/5/20,"6,772.20","6,815.90","6,680.70","6,747.70","6,747.70","203,873,600"
5/6/20,"6,719.80","6,762.50","6,666.20","6,671.70","6,671.70","166,015,200"
5/7/20,"6,714.90","6,747.20","6,666.40","6,730.90","6,730.90","167,460,700"
5/8/20,"6,790.70","6,807.40","6,715.40","6,783.10","6,783.10","128,578,300"
5/11/20,"6,830.90","6,854.70","6,651.70","6,672.20","6,672.20","217,443,300"
5/12/20,"6,672.70","6,795.10","6,663.20","6,762.70","6,762.70","172,853,600"
5/13/20,"6,694.00","6,728.20","6,631.40","6,631.40","6,631.40","245,673,600"
5/14/20,"6,569.70","6,609.00","6,421.40","6,545.60","6,545.60","258,952,900"
5/15/20,"6,594.40","6,624.30","6,466.00","6,474.90","6,474.90","203,854,400"
5/18/20,"6,583.10","6,790.20","6,558.10","6,779.30","6,779.30","203,486,600"
5/19/20,"6,864.20","6,872.60","6,555.60","6,609.10","6,609.10","501,358,300"
5/20/20,"6,593.40","6,697.10","6,499.10","6,683.60","6,683.60","341,451,800"
5/21/20,"6,612.70","6,773.40","6,579.90","6,686.10","6,686.10","258,583,100"
5/22/20,"6,618.20","6,751.80","6,585.70","6,697.50","6,697.50","292,688,300"
5/25/20,"6,766.60","6,856.80","6,725.20","6,856.80","6,856.80","187,072,800"
5/26/20,"6,940.60","7,023.80","6,917.10","7,003.90","7,003.90","383,729,100"
5/27/20,"7,034.00","7,229.00","7,030.20","7,174.50","7,174.50","501,006,600"
5/28/20,"7,237.30","7,244.50","7,141.40","7,224.10","7,224.10","375,466,600"
5/29/20,"7,164.30","7,201.80","7,096.50","7,096.50","7,096.50","903,979,900"
6/1/20,"7,228.70","7,276.00","7,160.10","7,221.40","7,221.40","291,929,600"
6/2/20,"7,264.00","7,445.30","7,236.90","7,408.10","7,408.10","402,947,100"
6/3/20,"7,487.30","7,629.70","7,448.90","7,626.40","7,626.40","445,036,400"
6/4/20,"7,567.70","7,669.20","7,516.00","7,566.80","7,566.80","514,858,000"
6/5/20,"7,672.00","7,890.40","7,664.10","7,872.60","7,872.60","573,283,900"
6/8/20,"7,813.10","7,992.70","7,796.60","7,896.10","7,896.10","557,213,300"
6/9/20,"7,878.20","7,914.70","7,683.20","7,752.30","7,752.30","453,061,900"
6/10/20,"7,779.80","7,861.00","7,649.40","7,663.90","7,663.90","355,564,600"
6/11/20,"7,486.50","7,486.50","7,278.00","7,278.00","7,278.00","456,667,800"
6/12/20,"7,232.20","7,425.30","7,205.00","7,292.70","7,292.70","370,125,100"
6/15/20,"7,116.90","7,309.40","7,062.90","7,259.30","7,259.30","329,041,900"
6/16/20,"7,420.80","7,599.30","7,349.70","7,495.30","7,495.30","388,212,600"
6/17/20,"7,458.10","7,552.50","7,402.50","7,478.70","7,478.70","333,500,600"
6/18/20,"7,436.40","7,495.20","7,318.10","7,390.20","7,390.20","326,763,200"
6/19/20,"7,444.20","7,502.10","7,401.00","7,414.20","7,414.20","634,635,200"
6/22/20,"7,371.60","7,426.90","7,300.70","7,345.70","7,345.70","220,420,500"
6/23/20,"7,408.80","7,495.10","7,366.60","7,438.40","7,438.40","260,896,400"
6/24/20,"7,403.90","7,440.90","7,195.50","7,195.50","7,195.50","248,464,400"
6/25/20,"7,176.40","7,295.80","7,077.80","7,270.30","7,270.30","267,871,700"
6/26/20,"7,324.50","7,344.90","7,172.10","7,178.40","7,178.40","215,724,300"
6/29/20,"7,160.10","7,318.30","7,146.30","7,278.10","7,278.10","216,619,400"
6/30/20,"7,270.60","7,307.50","7,173.00","7,231.40","7,231.40","233,654,700"
7/1/20,"7,245.60","7,283.90","7,127.10","7,227.40","7,227.40","194,032,100"
7/2/20,"7,292.70","7,538.20","7,292.70","7,498.60","7,498.60","310,243,600"
7/3/20,"7,510.30","7,520.60","7,374.90","7,403.50","7,403.50","181,467,000"
7/6/20,"7,566.50","7,632.30","7,517.30","7,556.20","7,556.20","253,508,300"
7/7/20,"7,491.50","7,511.30","7,441.30","7,447.40","7,447.40","191,351,100"
7/8/20,"7,361.00","7,382.70","7,307.40","7,326.40","7,326.40","213,489,300"
7/9/20,"7,369.90","7,383.50","7,221.10","7,236.90","7,236.90","176,465,600"
7/10/20,"7,198.40","7,324.30","7,183.20","7,321.10","7,321.10","182,314,500"
7/13/20,"7,403.20","7,452.10","7,345.90","7,426.90","7,426.90","179,024,200"
7/14/20,"7,344.40","7,352.00","7,268.40","7,352.00","7,352.00","201,386,900"
7/15/20,"7,416.10","7,529.60","7,317.60","7,487.60","7,487.60","262,957,900"
7/16/20,"7,438.80","7,498.00","7,425.30","7,474.70","7,474.70","178,623,900"
7/17/20,"7,474.10","7,485.00","7,395.80","7,440.40","7,440.40","196,831,900"
7/20/20,"7,442.50","7,495.50","7,365.10","7,478.00","7,478.00","148,683,100"
