symbol,date,price
nasdaq,1/2/20,"9,039.46"
nasdaq,1/3/20,"8,976.43"
nasdaq,1/6/20,"8,943.50"
nasdaq,1/7/20,"9,076.64"
nasdaq,1/8/20,"9,068.03"
nasdaq,1/9/20,"9,202.27"
nasdaq,1/10/20,"9,232.95"
nasdaq,1/13/20,"9,213.72"
nasdaq,1/14/20,"9,270.61"
nasdaq,1/15/20,"9,253.76"
nasdaq,1/16/20,"9,313.45"
nasdaq,1/17/20,"9,392.37"
nasdaq,1/21/20,"9,361.07"
nasdaq,1/22/20,"9,413.61"
nasdaq,1/23/20,"9,377.72"
nasdaq,1/24/20,"9,446.21"
nasdaq,1/27/20,"9,092.46"
nasdaq,1/28/20,"9,201.82"
nasdaq,1/29/20,"9,318.26"
nasdaq,1/30/20,"9,211.15"
nasdaq,1/31/20,"9,324.33"
nasdaq,2/3/20,"9,190.72"
nasdaq,2/4/20,"9,398.39"
nasdaq,2/5/20,"9,574.10"
nasdaq,2/6/20,"9,540.98"
nasdaq,2/7/20,"9,526.64"
nasdaq,2/10/20,"9,493.63"
nasdaq,2/11/20,"9,680.89"
nasdaq,2/12/20,"9,688.60"
nasdaq,2/13/20,"9,657.04"
nasdaq,2/14/20,"9,728.90"
nasdaq,2/18/20,"9,679.04"
nasdaq,2/19/20,"9,782.81"
nasdaq,2/20/20,"9,799.20"
nasdaq,2/21/20,"9,708.01"
nasdaq,2/24/20,"9,188.44"
nasdaq,2/25/20,"9,301.20"
nasdaq,2/26/20,"9,011.55"
nasdaq,2/27/20,"8,744.03"
nasdaq,2/28/20,"8,269.74"
nasdaq,3/2/20,"8,667.14"
nasdaq,3/3/20,"8,965.10"
nasdaq,3/4/20,"8,834.10"
nasdaq,3/5/20,"8,790.09"
nasdaq,3/6/20,"8,469.02"
nasdaq,3/9/20,"7,957.93"
nasdaq,3/10/20,"8,219.76"
nasdaq,3/11/20,"8,136.25"
nasdaq,3/12/20,"7,398.58"
nasdaq,3/13/20,"7,610.39"
nasdaq,3/16/20,"7,392.73"
nasdaq,3/17/20,"7,072.00"
nasdaq,3/18/20,"6,902.32"
nasdaq,3/19/20,"6,996.45"
nasdaq,3/20/20,"7,248.07"
nasdaq,3/23/20,"6,847.28"
nasdaq,3/24/20,"7,196.15"
nasdaq,3/25/20,"7,421.36"
nasdaq,3/26/20,"7,462.21"
nasdaq,3/27/20,"7,554.25"
nasdaq,3/30/20,"7,583.46"
nasdaq,3/31/20,"7,740.06"
nasdaq,4/1/20,"7,459.50"
nasdaq,4/2/20,"7,317.45"
nasdaq,4/3/20,"7,477.27"
nasdaq,4/6/20,"7,660.17"
nasdaq,4/7/20,"8,129.99"
nasdaq,4/8/20,"7,975.72"
nasdaq,4/9/20,"8,169.01"
nasdaq,4/13/20,"8,127.69"
nasdaq,4/14/20,"8,353.21"
nasdaq,4/15/20,"8,355.96"
nasdaq,4/16/20,"8,479.11"
nasdaq,4/17/20,"8,667.48"
nasdaq,4/20/20,"8,553.38"
nasdaq,4/21/20,"8,460.69"
nasdaq,4/22/20,"8,434.55"
nasdaq,4/23/20,"8,528.84"
nasdaq,4/24/20,"8,530.08"
nasdaq,4/27/20,"8,717.98"
nasdaq,4/28/20,"8,825.69"
nasdaq,4/29/20,"8,802.70"
nasdaq,4/30/20,"8,911.02"
nasdaq,5/1/20,"8,681.29"
nasdaq,5/4/20,"8,555.32"
nasdaq,5/5/20,"8,809.66"
nasdaq,5/6/20,"8,874.70"
nasdaq,5/7/20,"8,973.78"
nasdaq,5/8/20,"9,056.89"
nasdaq,5/11/20,"9,054.91"
nasdaq,5/12/20,"9,225.15"
nasdaq,5/13/20,"9,006.05"
nasdaq,5/14/20,"8,788.04"
nasdaq,5/15/20,"8,839.99"
nasdaq,5/18/20,"9,177.15"
nasdaq,5/19/20,"9,227.46"
nasdaq,5/20/20,"9,305.62"
nasdaq,5/21/20,"9,375.19"
nasdaq,5/22/20,"9,278.55"
nasdaq,5/26/20,"9,501.21"
nasdaq,5/27/20,"9,346.12"
nasdaq,5/28/20,"9,392.99"
nasdaq,5/29/20,"9,382.35"
nasdaq,6/1/20,"9,471.42"
nasdaq,6/2/20,"9,566.53"
nasdaq,6/3/20,"9,651.86"
nasdaq,6/4/20,"9,649.65"
nasdaq,6/5/20,"9,703.54"
nasdaq,6/8/20,"9,823.44"
nasdaq,6/9/20,"9,867.19"
nasdaq,6/10/20,"10,012.32"
nasdaq,6/11/20,"9,791.24"
nasdaq,6/12/20,"9,715.87"
nasdaq,6/15/20,"9,426.90"
nasdaq,6/16/20,"9,949.78"
nasdaq,6/17/20,"9,943.31"
nasdaq,6/18/20,"9,892.48"
nasdaq,6/19/20,"10,042.13"
nasdaq,6/22/20,"9,945.49"
nasdaq,6/23/20,"10,130.83"
nasdaq,6/24/20,"10,092.92"
nasdaq,6/25/20,"9,899.36"
nasdaq,6/26/20,"9,995.12"
nasdaq,6/29/20,"9,771.72"
nasdaq,6/30/20,"9,875.29"
nasdaq,7/1/20,"10,063.67"
nasdaq,7/2/20,"10,268.67"
nasdaq,7/6/20,"10,360.38"
nasdaq,7/7/20,"10,412.46"
nasdaq,7/8/20,"10,409.35"
nasdaq,7/9/20,"10,563.72"
nasdaq,7/10/20,"10,545.91"
nasdaq,7/13/20,"10,729.92"
nasdaq,7/14/20,"10,310.25"
nasdaq,7/15/20,"10,576.72"
nasdaq,7/16/20,"10,443.87"
nasdaq,7/17/20,"10,500.52"
nasdaq,7/20/20,"10,526.02"
nasdaq,7/21/20,"10,837.88"
nasdaq,7/22/20,"10,687.58"
nasdaq,7/23/20,"10,689.50"
nasdaq,7/24/20,"10,294.41"
nasdaq,7/27/20,"10,421.70"
nasdaq,7/28/20,"10,509.20"
nasdaq,7/29/20,"10,474.70"
nasdaq,7/30/20,"10,450.12"
nasdaq,7/31/20,"10,741.47"
nasdaq,8/3/20,"10,848.64"
nasdaq,8/4/20,"10,897.89"
nasdaq,8/5/20,"10,967.87"
nasdaq,8/6/20,"10,989.98"
nasdaq,8/7/20,"11,072.53"
nasdaq,8/10/20,"11,033.73"
nasdaq,8/11/20,"10,942.66"
nasdaq,8/12/20,"10,878.12"
nasdaq,8/13/20,"11,026.86"
nasdaq,8/14/20,"11,042.24"
nasdaq,8/17/20,"11,083.25"
nasdaq,8/18/20,"11,170.75"
nasdaq,8/19/20,"11,214.80"
nasdaq,8/20/20,"11,096.40"
nasdaq,8/21/20,"11,258.44"
nasdaq,8/24/20,"11,449.25"
nasdaq,8/25/20,"11,370.23"
nasdaq,8/26/20,"11,516.62"
nasdaq,8/27/20,"11,688.19"
nasdaq,8/28/20,"11,689.28"
nasdaq,8/31/20,"11,718.81"
nasdaq,9/1/20,"11,850.96"
nasdaq,9/2/20,"12,047.26"
nasdaq,9/3/20,"11,861.90"
nasdaq,9/4/20,"11,396.24"
nasdaq,9/8/20,"10,900.70"
nasdaq,9/9/20,"11,064.76"
nasdaq,9/10/20,"11,235.53"
nasdaq,9/11/20,"11,010.07"
nasdaq,9/14/20,"11,010.14"
nasdaq,9/15/20,"11,193.96"
nasdaq,9/16/20,"11,222.08"
nasdaq,9/17/20,"10,796.05"
nasdaq,9/18/20,"10,973.45"
nasdaq,9/21/20,"10,610.14"
nasdaq,9/22/20,"10,873.30"
nasdaq,9/23/20,"10,950.82"
nasdaq,9/24/20,"10,551.02"
nasdaq,9/25/20,"10,680.46"
nasdaq,9/28/20,"11,084.38"
nasdaq,9/29/20,"11,109.00"
nasdaq,9/30/20,"11,092.90"
nasdaq,10/1/20,"11,291.99"
nasdaq,10/2/20,"11,082.53"
nasdaq,10/5/20,"11,169.11"
nasdaq,10/6/20,"11,314.53"
nasdaq,10/7/20,"11,271.68"
nasdaq,10/8/20,"11,443.35"
nasdaq,10/9/20,"11,487.60"
nasdaq,10/12/20,"11,732.33"
nasdaq,10/13/20,"11,901.76"
nasdaq,10/14/20,"11,889.07"
nasdaq,10/15/20,"11,559.88"
nasdaq,10/16/20,"11,761.83"
nasdaq,10/19/20,"11,732.34"
nasdaq,10/20/20,"11,531.83"
nasdaq,10/21/20,"11,530.39"
nasdaq,10/22/20,"11,526.97"
nasdaq,10/23/20,"11,536.01"
nasdaq,10/26/20,"11,440.64"
nasdaq,10/27/20,"11,409.34"
nasdaq,10/28/20,"11,230.90"
nasdaq,10/29/20,"11,064.47"
nasdaq,10/30/20,"11,103.47"
nasdaq,11/2/20,"11,010.45"
nasdaq,11/3/20,"11,038.66"
nasdaq,11/4/20,"11,443.77"
nasdaq,11/5/20,"11,816.33"
nasdaq,11/6/20,"11,869.90"
nasdaq,11/9/20,"12,046.66"
nasdaq,11/10/20,"11,622.44"
nasdaq,11/11/20,"11,656.65"
nasdaq,11/12/20,"11,802.50"
nasdaq,11/13/20,"11,794.94"
nasdaq,11/16/20,"11,847.11"
nasdaq,11/17/20,"11,913.35"
nasdaq,11/18/20,"11,896.06"
nasdaq,11/19/20,"11,779.04"
nasdaq,11/20/20,"11,892.70"
nasdaq,11/23/20,"11,916.76"
nasdaq,11/24/20,"11,939.33"
nasdaq,11/25/20,"12,053.89"
nasdaq,11/27/20,"12,159.18"
nasdaq,11/30/20,"12,224.25"
nasdaq,12/1/20,"12,313.36"
nasdaq,12/2/20,"12,285.75"
nasdaq,12/3/20,"12,369.26"
nasdaq,12/4/20,"12,399.32"
nasdaq,12/7/20,"12,461.00"
nasdaq,12/8/20,"12,503.17"
nasdaq,12/9/20,"12,591.69"
nasdaq,12/10/20,"12,247.55"
nasdaq,12/11/20,"12,336.79"
nasdaq,12/14/20,"12,447.44"
nasdaq,12/15/20,"12,543.26"
nasdaq,12/16/20,"12,611.04"
nasdaq,12/17/20,"12,730.78"
nasdaq,12/18/20,"12,804.93"
nasdaq,12/21/20,"12,596.14"
nasdaq,12/22/20,"12,785.22"
nasdaq,12/23/20,"12,834.94"
nasdaq,12/24/20,"12,791.54"
nasdaq,12/28/20,"12,914.64"
nasdaq,12/29/20,"12,965.39"
nasdaq,12/30/20,"12,906.51"
nasdaq,12/31/20,12877.0898
nasdaq,1/4/21,12958.5195
nasdaq,1/5/21,12665.6504
nasdaq,1/6/21,12666.1504
nasdaq,1/7/21,12867.3398
nasdaq,1/8/21,13160.2197
nasdaq,1/11/21,13048.7803
nasdaq,1/12/21,13062.0596
nasdaq,1/13/21,13088.0098
nasdaq,1/14/21,13174.75
nasdaq,1/15/21,13099.9004
nasdaq,1/19/21,13132.7305
nasdaq,1/20/21,13342.5498
nasdaq,1/21/21,13521.4805
nasdaq,1/22/21,13474.8096
nasdaq,1/25/21,13681.21
nasdaq,1/26/21,13681.7197
nasdaq,1/27/21,13486.5801
nasdaq,1/28/21,13323.29
nasdaq,1/29/21,13284.7197
nasdaq,2/1/21,13226.1797
nasdaq,2/2/21,13543.0996
nasdaq,2/3/21,13718.3096
nasdaq,2/4/21,13674.0596
nasdaq,2/5/21,13824.8799
nasdaq,2/8/21,13937.0596
nasdaq,2/9/21,13966.8203
nasdaq,2/10/21,14093.3496
nasdaq,2/11/21,14045.21
nasdaq,2/12/21,13979.21
nasdaq,2/16/21,14152.21
nasdaq,2/17/21,13911.6504
nasdaq,2/18/21,13814.6699
nasdaq,2/19/21,13929.2002
nasdaq,2/22/21,13714.2002
nasdaq,2/23/21,13262.6104
nasdaq,2/24/21,13400.25
nasdaq,2/25/21,13512.6396
nasdaq,2/26/21,13232.9004
nasdaq,3/1/21,13406.1602
nasdaq,3/2/21,13599.4502
nasdaq,3/3/21,13336.25
nasdaq,3/4/21,12953.9902
nasdaq,3/5/21,12860.04
nasdaq,3/8/21,12904.2598
nasdaq,3/9/21,12923.0703
nasdaq,3/10/21,13234.7305
nasdaq,3/11/21,13273.3096
nasdaq,3/12/21,13222.8096
nasdaq,3/15/21,13323.4697
nasdaq,3/16/21,13523.1699
nasdaq,3/17/21,13336.9102
nasdaq,3/18/21,13349.2002
nasdaq,3/19/21,13119.9004
nasdaq,3/22/21,13278.7803
spain,1/2/20,"9,639.10"
spain,1/3/20,"9,631.20"
spain,1/6/20,"9,585.40"
spain,1/7/20,"9,623.10"
spain,1/8/20,"9,535.10"
spain,1/9/20,"9,629.20"
spain,1/10/20,"9,611.30"
spain,1/13/20,"9,586.60"
spain,1/14/20,"9,548.10"
spain,1/15/20,"9,521.20"
spain,1/16/20,"9,516.70"
spain,1/17/20,"9,616.10"
spain,1/20/20,"9,676.60"
spain,1/21/20,"9,593.40"
spain,1/22/20,"9,622.00"
spain,1/23/20,"9,549.40"
spain,1/24/20,"9,576.80"
spain,1/27/20,"9,447.10"
spain,1/28/20,"9,401.80"
spain,1/29/20,"9,532.70"
spain,1/30/20,"9,460.80"
spain,1/31/20,"9,519.30"
spain,2/3/20,"9,404.40"
spain,2/4/20,"9,465.90"
spain,2/5/20,"9,553.40"
spain,2/6/20,"9,767.10"
spain,2/7/20,"9,789.30"
spain,2/10/20,"9,790.60"
spain,2/11/20,"9,863.40"
spain,2/12/20,"9,897.90"
spain,2/13/20,"9,893.90"
spain,2/14/20,"9,910.90"
spain,2/17/20,"9,979.20"
spain,2/18/20,"9,977.40"
spain,2/19/20,"10,042.00"
spain,2/20/20,"10,048.70"
spain,2/21/20,"9,893.00"
spain,2/24/20,"9,649.80"
spain,2/25/20,"9,507.00"
spain,2/26/20,"9,213.00"
spain,2/27/20,"9,182.20"
spain,2/28/20,"8,748.10"
spain,3/2/20,"8,910.20"
spain,3/3/20,"8,860.20"
spain,3/4/20,"8,827.80"
spain,3/5/20,"8,960.80"
spain,3/6/20,"8,532.60"
spain,3/9/20,"7,884.00"
spain,3/10/20,"7,815.60"
spain,3/11/20,"7,589.30"
spain,3/12/20,"7,040.80"
spain,3/13/20,"6,763.70"
spain,3/16/20,"6,331.00"
spain,3/17/20,"6,444.50"
spain,3/18/20,"6,370.50"
spain,3/19/20,"6,368.20"
spain,3/20/20,"6,645.40"
spain,3/23/20,"6,223.70"
spain,3/24/20,"6,433.30"
spain,3/25/20,"6,985.90"
spain,3/26/20,"6,789.00"
spain,3/27/20,"6,916.70"
spain,3/30/20,"6,748.60"
spain,3/31/20,"6,746.80"
spain,4/1/20,"6,627.30"
spain,4/2/20,"6,633.70"
spain,4/3/20,"6,563.60"
spain,4/6/20,"6,807.90"
spain,4/7/20,"6,986.90"
spain,4/8/20,"6,930.20"
spain,4/9/20,"7,049.30"
spain,4/14/20,"7,209.70"
spain,4/15/20,"7,065.60"
spain,4/16/20,"6,930.80"
spain,4/17/20,"6,942.50"
spain,4/20/20,"6,932.50"
spain,4/21/20,"6,741.30"
spain,4/22/20,"6,685.10"
spain,4/23/20,"6,758.70"
spain,4/24/20,"6,641.30"
spain,4/27/20,"6,780.90"
spain,4/28/20,"6,724.60"
spain,4/29/20,"6,829.40"
spain,4/30/20,"7,084.80"
spain,5/4/20,"6,767.70"
spain,5/5/20,"6,772.20"
spain,5/6/20,"6,719.80"
spain,5/7/20,"6,714.90"
spain,5/8/20,"6,790.70"
spain,5/11/20,"6,830.90"
spain,5/12/20,"6,672.70"
spain,5/13/20,"6,694.00"
spain,5/14/20,"6,569.70"
spain,5/15/20,"6,594.40"
spain,5/18/20,"6,583.10"
spain,5/19/20,"6,864.20"
spain,5/20/20,"6,593.40"
spain,5/21/20,"6,612.70"
spain,5/22/20,"6,618.20"
spain,5/25/20,"6,766.60"
spain,5/26/20,"6,940.60"
spain,5/27/20,"7,034.00"
spain,5/28/20,"7,237.30"
spain,5/29/20,"7,164.30"
spain,6/1/20,"7,228.70"
spain,6/2/20,"7,264.00"
spain,6/3/20,"7,487.30"
spain,6/4/20,"7,567.70"
spain,6/5/20,"7,672.00"
spain,6/8/20,"7,813.10"
spain,6/9/20,"7,878.20"
spain,6/10/20,"7,779.80"
spain,6/11/20,"7,486.50"
spain,6/12/20,"7,232.20"
spain,6/15/20,"7,116.90"
spain,6/16/20,"7,420.80"
spain,6/17/20,"7,458.10"
spain,6/18/20,"7,436.40"
spain,6/19/20,"7,444.20"
spain,6/22/20,"7,371.60"
spain,6/23/20,"7,408.80"
spain,6/24/20,"7,403.90"
spain,6/25/20,"7,176.40"
spain,6/26/20,"7,324.50"
spain,6/29/20,"7,160.10"
spain,6/30/20,"7,270.60"
spain,7/1/20,"7,245.60"
spain,7/2/20,"7,292.70"
spain,7/3/20,"7,510.30"
spain,7/6/20,"7,566.50"
spain,7/7/20,"7,491.50"
spain,7/8/20,"7,361.00"
spain,7/9/20,"7,369.90"
spain,7/10/20,"7,198.40"
spain,7/13/20,"7,403.20"
spain,7/14/20,"7,344.40"
spain,7/15/20,"7,416.10"
spain,7/16/20,"7,438.80"
spain,7/17/20,"7,474.10"
spain,7/20/20,"7,442.50"
spain,7/21/20,"7,554.20"
spain,7/22/20,"7,474.70"
spain,7/23/20,"7,434.70"
spain,7/24/20,"7,301.80"
spain,7/27/20,"7,267.80"
spain,7/28/20,"7,191.90"
spain,7/29/20,"7,247.60"
spain,7/30/20,"7,192.30"
spain,7/31/20,"7,025.20"
spain,8/3/20,"6,867.40"
spain,8/4/20,"7,003.00"
spain,8/5/20,"7,073.20"
spain,8/6/20,"7,022.10"
spain,8/7/20,"6,929.10"
spain,8/10/20,"7,004.40"
spain,8/11/20,"7,104.00"
spain,8/12/20,"7,250.30"
spain,8/13/20,"7,267.90"
spain,8/14/20,"7,224.10"
spain,8/17/20,"7,141.50"
spain,8/18/20,"7,065.70"
spain,8/19/20,"7,039.10"
spain,8/20/20,"7,011.40"
spain,8/21/20,"7,016.70"
spain,8/24/20,"7,044.20"
spain,8/25/20,"7,147.90"
spain,8/26/20,"7,088.40"
spain,8/27/20,"7,114.10"
spain,8/28/20,"7,114.70"
spain,8/31/20,"7,174.30"
spain,9/1/20,"7,038.50"
spain,9/2/20,"6,973.10"
spain,9/3/20,"7,065.20"
spain,9/4/20,"7,015.70"
spain,9/7/20,"7,032.80"
spain,9/8/20,"7,087.90"
spain,9/9/20,"6,946.40"
spain,9/10/20,"7,020.60"
spain,9/11/20,"6,989.40"
spain,9/14/20,"6,989.80"
spain,9/15/20,"6,958.90"
spain,9/16/20,"7,048.30"
spain,9/17/20,"7,027.10"
spain,9/18/20,"7,073.80"
spain,9/21/20,"6,892.90"
spain,9/22/20,"6,752.90"
spain,9/23/20,"6,717.80"
spain,9/24/20,"6,577.60"
spain,9/25/20,"6,647.40"
spain,9/28/20,"6,709.20"
spain,9/29/20,"6,769.50"
spain,9/30/20,"6,663.60"
