Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Total merchandise imports - monthly,China,World,January,Million US dollar,2018,181151
Total merchandise imports - monthly,China,World,January,Million US dollar,2019,179664.2075
Total merchandise imports - monthly,China,World,February,Million US dollar,2019,132368.2261
Total merchandise imports - monthly,China,World,February,Million US dollar,2020,299544.2047
Total merchandise imports - monthly,China,World,February,Million US dollar,2018,138345
Total merchandise imports - monthly,China,World,March,Million US dollar,2018,179694
Total merchandise imports - monthly,China,World,March,Million US dollar,2020,164775.4201
Total merchandise imports - monthly,China,World,March,Million US dollar,2019,166862.6642
Total merchandise imports - monthly,China,World,April,Million US dollar,2019,180527.8156
Total merchandise imports - monthly,China,World,April,Million US dollar,2020,154610.7658
Total merchandise imports - monthly,China,World,April,Million US dollar,2018,172719
Total merchandise imports - monthly,China,World,May,Million US dollar,2018,188177
Total merchandise imports - monthly,China,World,May,Million US dollar,2020,143877.0681
Total merchandise imports - monthly,China,World,May,Million US dollar,2019,172771.0925
Total merchandise imports - monthly,China,World,June,Million US dollar,2020,166630.0211
Total merchandise imports - monthly,China,World,June,Million US dollar,2018,174691
Total merchandise imports - monthly,China,World,June,Million US dollar,2019,162813.4506
Total merchandise imports - monthly,China,World,July,Million US dollar,2019,177757.8632
Total merchandise imports - monthly,China,World,July,Million US dollar,2018,186914
Total merchandise imports - monthly,China,World,July,Million US dollar,2020,174981.1883
Total merchandise imports - monthly,China,World,August,Million US dollar,2020,175946.049
Total merchandise imports - monthly,China,World,August,Million US dollar,2018,190652
Total merchandise imports - monthly,China,World,August,Million US dollar,2019,180157.1526
Total merchandise imports - monthly,China,World,September,Million US dollar,2019,179136.4856
Total merchandise imports - monthly,China,World,September,Million US dollar,2018,195134
Total merchandise imports - monthly,China,World,September,Million US dollar,2020,201968.5534
Total merchandise imports - monthly,China,World,October,Million US dollar,2020,178171.1951
Total merchandise imports - monthly,China,World,October,Million US dollar,2018,181786
Total merchandise imports - monthly,China,World,October,Million US dollar,2019,170670.611
Total merchandise imports - monthly,China,World,November,Million US dollar,2019,184266.4531
Total merchandise imports - monthly,China,World,November,Million US dollar,2018,182435
Total merchandise imports - monthly,China,World,November,Million US dollar,2020,191493.7936
Total merchandise imports - monthly,China,World,December,Million US dollar,2020,203753.9548
Total merchandise imports - monthly,China,World,December,Million US dollar,2018,164050
Total merchandise imports - monthly,China,World,December,Million US dollar,2019,191390.3419
Total merchandise imports - monthly,India,World,January,Million US dollar,2020,41169.58545
Total merchandise imports - monthly,India,World,January,Million US dollar,2019,41468.72732
Total merchandise imports - monthly,India,World,January,Million US dollar,2018,41077.95685
Total merchandise imports - monthly,India,World,February,Million US dollar,2018,38302.00052
Total merchandise imports - monthly,India,World,February,Million US dollar,2019,36615.03335
Total merchandise imports - monthly,India,World,February,Million US dollar,2020,37882.7466
Total merchandise imports - monthly,India,World,March,Million US dollar,2020,31387.54122
Total merchandise imports - monthly,India,World,March,Million US dollar,2019,43712.18133
Total merchandise imports - monthly,India,World,March,Million US dollar,2018,42807.14938
Total merchandise imports - monthly,India,World,April,Million US dollar,2018,39944.67729
Total merchandise imports - monthly,India,World,April,Million US dollar,2019,42399.83719
Total merchandise imports - monthly,India,World,April,Million US dollar,2020,17101.02597
Total merchandise imports - monthly,India,World,May,Million US dollar,2020,22858.14785
Total merchandise imports - monthly,India,World,May,Million US dollar,2019,46676.93274
Total merchandise imports - monthly,India,World,May,Million US dollar,2018,43936.39969
Total merchandise imports - monthly,India,World,June,Million US dollar,2018,44808.63502
Total merchandise imports - monthly,India,World,June,Million US dollar,2020,21327.01573
Total merchandise imports - monthly,India,World,June,Million US dollar,2019,41062.59435
Total merchandise imports - monthly,India,World,July,Million US dollar,2019,40471.35001
Total merchandise imports - monthly,India,World,July,Million US dollar,2020,29083.57807
Total merchandise imports - monthly,India,World,July,Million US dollar,2018,44392.40199
Total merchandise imports - monthly,India,World,August,Million US dollar,2018,45675.15305
Total merchandise imports - monthly,India,World,August,Million US dollar,2020,31069.074
Total merchandise imports - monthly,India,World,August,Million US dollar,2019,39827.78356
Total merchandise imports - monthly,India,World,September,Million US dollar,2019,37706.81817
Total merchandise imports - monthly,India,World,September,Million US dollar,2020,30487.89519
Total merchandise imports - monthly,India,World,September,Million US dollar,2018,42782.50141
Total merchandise imports - monthly,India,World,October,Million US dollar,2018,44721.25245
Total merchandise imports - monthly,India,World,October,Million US dollar,2020,33580.99003
Total merchandise imports - monthly,India,World,October,Million US dollar,2019,38002.84207
Total merchandise imports - monthly,India,World,November,Million US dollar,2019,38500.35342
Total merchandise imports - monthly,India,World,November,Million US dollar,2020,33386.19338
Total merchandise imports - monthly,India,World,November,Million US dollar,2018,43725.89807
Total merchandise imports - monthly,India,World,December,Million US dollar,2019,39614.09979
Total merchandise imports - monthly,India,World,December,Million US dollar,2020,42586.25
Total merchandise imports - monthly,India,World,December,Million US dollar,2018,42290.03093
Total merchandise imports - monthly,Italy,World,January,Million US dollar,2018,43029.034
Total merchandise imports - monthly,Italy,World,January,Million US dollar,2019,40987.66392
Total merchandise imports - monthly,Italy,World,January,Million US dollar,2020,40177.227
Total merchandise imports - monthly,Italy,World,February,Million US dollar,2019,39028.48383
Total merchandise imports - monthly,Italy,World,February,Million US dollar,2018,41073.52284
Total merchandise imports - monthly,Italy,World,February,Million US dollar,2020,37314.18375
Total merchandise imports - monthly,Italy,World,March,Million US dollar,2020,33293.98787
Total merchandise imports - monthly,Italy,World,March,Million US dollar,2018,45878.07744
Total merchandise imports - monthly,Italy,World,March,Million US dollar,2019,41904.87748
Total merchandise imports - monthly,Italy,World,April,Million US dollar,2019,39995.36772
Total merchandise imports - monthly,Italy,World,April,Million US dollar,2018,41232.13776
Total merchandise imports - monthly,Italy,World,April,Million US dollar,2020,25210.59338
Total merchandise imports - monthly,Italy,World,May,Million US dollar,2020,27356.17056
Total merchandise imports - monthly,Italy,World,May,Million US dollar,2018,44110.02408
Total merchandise imports - monthly,Italy,World,May,Million US dollar,2019,42982.05355
Total merchandise imports - monthly,Italy,World,June,Million US dollar,2019,39798.67767
Total merchandise imports - monthly,Italy,World,June,Million US dollar,2018,43322.22694
Total merchandise imports - monthly,Italy,World,June,Million US dollar,2020,33343.8379
Total merchandise imports - monthly,Italy,World,July,Million US dollar,2020,37238.81643
Total merchandise imports - monthly,Italy,World,July,Million US dollar,2018,43705.0557
Total merchandise imports - monthly,Italy,World,July,Million US dollar,2019,42802.16682
Total merchandise imports - monthly,Italy,World,August,Million US dollar,2019,30066.56862
Total merchandise imports - monthly,Italy,World,August,Million US dollar,2018,32621.07442
Total merchandise imports - monthly,Italy,World,August,Million US dollar,2020,28136.09156
Total merchandise imports - monthly,Italy,World,September,Million US dollar,2020,40431.70208
Total merchandise imports - monthly,Italy,World,September,Million US dollar,2018,41808.0081
Total merchandise imports - monthly,Italy,World,September,Million US dollar,2019,40370.70492
Total merchandise imports - monthly,Italy,World,October,Million US dollar,2019,41932.42928
Total merchandise imports - monthly,Italy,World,October,Million US dollar,2018,46134.78804
Total merchandise imports - monthly,Italy,World,October,Million US dollar,2020,41011.26525
Total merchandise imports - monthly,Italy,World,November,Million US dollar,2020,40434.34632
Total merchandise imports - monthly,Italy,World,November,Million US dollar,2018,42639.20838
Total merchandise imports - monthly,Italy,World,November,Million US dollar,2019,38984.17066
Total merchandise imports - monthly,Italy,World,December,Million US dollar,2018,37686.95968
Total merchandise imports - monthly,Italy,World,December,Million US dollar,2019,36153.03386
Total merchandise imports - monthly,Italy,World,December,Million US dollar,2020,38930.613
Total merchandise imports - monthly,Spain,World,January,Million US dollar,2019,31300.50296
Total merchandise imports - monthly,Spain,World,January,Million US dollar,2018,33600.02
Total merchandise imports - monthly,Spain,World,January,Million US dollar,2020,30431.982
Total merchandise imports - monthly,Spain,World,February,Million US dollar,2020,29001.73845
Total merchandise imports - monthly,Spain,World,February,Million US dollar,2018,31313.9106
Total merchandise imports - monthly,Spain,World,February,Million US dollar,2019,29869.0214
Total merchandise imports - monthly,Spain,World,March,Million US dollar,2019,33962.73604
Total merchandise imports - monthly,Spain,World,March,Million US dollar,2018,35149.95168
Total merchandise imports - monthly,Spain,World,March,Million US dollar,2020,28688.90349
Total merchandise imports - monthly,Spain,World,April,Million US dollar,2020,18232.51872
Total merchandise imports - monthly,Spain,World,April,Million US dollar,2018,33587.25876
Total merchandise imports - monthly,Spain,World,April,Million US dollar,2019,29732.15184
Total merchandise imports - monthly,Spain,World,May,Million US dollar,2019,32979.4199
Total merchandise imports - monthly,Spain,World,May,Million US dollar,2018,32871.85104
Total merchandise imports - monthly,Spain,World,May,Million US dollar,2020,19249.6614
Total merchandise imports - monthly,Spain,World,June,Million US dollar,2018,34409.227
Total merchandise imports - monthly,Spain,World,June,Million US dollar,2019,31542.93002
Total merchandise imports - monthly,Spain,World,June,Million US dollar,2020,25626.2844
Total merchandise imports - monthly,Spain,World,July,Million US dollar,2020,27446.66331
Total merchandise imports - monthly,Spain,World,July,Million US dollar,2019,32143.72066
Total merchandise imports - monthly,Spain,World,July,Million US dollar,2018,33028.7261
Total merchandise imports - monthly,Spain,World,August,Million US dollar,2018,27432.3397
Total merchandise imports - monthly,Spain,World,August,Million US dollar,2020,22972.45988
Total merchandise imports - monthly,Spain,World,August,Million US dollar,2019,25756.02244
Total merchandise imports - monthly,Spain,World,September,Million US dollar,2019,32322.15924
Total merchandise imports - monthly,Spain,World,September,Million US dollar,2020,31359.0552
Total merchandise imports - monthly,Spain,World,September,Million US dollar,2018,32262.66821
Total merchandise imports - monthly,Spain,World,October,Million US dollar,2018,34963.15284
Total merchandise imports - monthly,Spain,World,October,Million US dollar,2020,30456.273
Total merchandise imports - monthly,Spain,World,October,Million US dollar,2019,33053.44385
Total merchandise imports - monthly,Spain,World,November,Million US dollar,2019,30066.23468
Total merchandise imports - monthly,Spain,World,November,Million US dollar,2020,29758.48278
Total merchandise imports - monthly,Spain,World,November,Million US dollar,2018,31761.21672
Total merchandise imports - monthly,Spain,World,December,Million US dollar,2018,30181.48848
Total merchandise imports - monthly,Spain,World,December,Million US dollar,2019,30021.65837
Total merchandise imports - monthly,Spain,World,December,Million US dollar,2020,31769.1765
Total merchandise imports - monthly,United States of America,World,January,Million US dollar,2020,202123.9894
Total merchandise imports - monthly,United States of America,World,January,Million US dollar,2019,210819.4497
Total merchandise imports - monthly,United States of America,World,January,Million US dollar,2018,209366.0626
Total merchandise imports - monthly,United States of America,World,February,Million US dollar,2018,192768.4888
Total merchandise imports - monthly,United States of America,World,February,Million US dollar,2019,191040.6063
Total merchandise imports - monthly,United States of America,World,February,Million US dollar,2020,183308.577
Total merchandise imports - monthly,United States of America,World,March,Million US dollar,2019,213664.4039
Total merchandise imports - monthly,United States of America,World,March,Million US dollar,2018,213836.4088
Total merchandise imports - monthly,United States of America,World,March,Million US dollar,2020,199663.6793
Total merchandise imports - monthly,United States of America,World,April,Million US dollar,2018,211010.8801
Total merchandise imports - monthly,United States of America,World,April,Million US dollar,2020,170667.5479
Total merchandise imports - monthly,United States of America,World,April,Million US dollar,2019,214987.4818
Total merchandise imports - monthly,United States of America,World,May,Million US dollar,2019,226662.5922
Total merchandise imports - monthly,United States of America,World,May,Million US dollar,2020,169175.3382
Total merchandise imports - monthly,United States of America,World,May,Million US dollar,2018,222738.6052
Total merchandise imports - monthly,United States of America,World,June,Million US dollar,2018,218582.7301
Total merchandise imports - monthly,United States of America,World,June,Million US dollar,2019,212831.6488
Total merchandise imports - monthly,United States of America,World,June,Million US dollar,2020,185057.4055
Total merchandise imports - monthly,United States of America,World,July,Million US dollar,2020,206765.4655
Total merchandise imports - monthly,United States of America,World,July,Million US dollar,2019,224952.8203
Total merchandise imports - monthly,United States of America,World,July,Million US dollar,2018,222988.8027
Total merchandise imports - monthly,United States of America,World,August,Million US dollar,2018,228574.5567
Total merchandise imports - monthly,United States of America,World,August,Million US dollar,2019,221702.1069
Total merchandise imports - monthly,United States of America,World,August,Million US dollar,2020,209674.367
Total merchandise imports - monthly,United States of America,World,September,Million US dollar,2020,212726.409
Total merchandise imports - monthly,United States of America,World,September,Million US dollar,2019,212438.6504
Total merchandise imports - monthly,United States of America,World,September,Million US dollar,2018,217992.7022
Total merchandise imports - monthly,United States of America,World,October,Million US dollar,2018,242980.5677
Total merchandise imports - monthly,United States of America,World,October,Million US dollar,2019,225376.9188
Total merchandise imports - monthly,United States of America,World,October,Million US dollar,2020,226387.5121
Total merchandise imports - monthly,United States of America,World,November,Million US dollar,2020,219580.6523
Total merchandise imports - monthly,United States of America,World,November,Million US dollar,2018,220169.6916
Total merchandise imports - monthly,United States of America,World,November,Million US dollar,2019,205004.5581
Total merchandise imports - monthly,United States of America,World,December,Million US dollar,2019,207963.3219
Total merchandise imports - monthly,United States of America,World,December,Million US dollar,2018,213211.8846
Total merchandise imports - monthly,United States of America,World,December,Million US dollar,2020,222414.1438
Total merchandise exports - monthly,China,World,January,Million US dollar,2018,199469
Total merchandise exports - monthly,China,World,January,Million US dollar,2019,218002.5101
Total merchandise exports - monthly,China,World,February,Million US dollar,2018,170549
Total merchandise exports - monthly,China,World,February,Million US dollar,2019,135323.7434
Total merchandise exports - monthly,China,World,February,Million US dollar,2020,292448.5665
Total merchandise exports - monthly,China,World,March,Million US dollar,2019,198231.5476
Total merchandise exports - monthly,China,World,March,Million US dollar,2020,184578.6427
Total merchandise exports - monthly,China,World,March,Million US dollar,2018,173900
Total merchandise exports - monthly,China,World,April,Million US dollar,2018,198936
Total merchandise exports - monthly,China,World,April,Million US dollar,2020,199520.8685
Total merchandise exports - monthly,China,World,April,Million US dollar,2019,193601.1214
Total merchandise exports - monthly,China,World,May,Million US dollar,2019,213914.8562
Total merchandise exports - monthly,China,World,May,Million US dollar,2020,206489.9014
Total merchandise exports - monthly,China,World,May,Million US dollar,2018,211592
Total merchandise exports - monthly,China,World,June,Million US dollar,2018,215596
Total merchandise exports - monthly,China,World,June,Million US dollar,2019,212463.6952
Total merchandise exports - monthly,China,World,June,Million US dollar,2020,212910.353
Total merchandise exports - monthly,China,World,July,Million US dollar,2020,236860.4539
Total merchandise exports - monthly,China,World,July,Million US dollar,2019,221772.3975
Total merchandise exports - monthly,China,World,July,Million US dollar,2018,214403
Total merchandise exports - monthly,China,World,August,Million US dollar,2018,216949
Total merchandise exports - monthly,China,World,August,Million US dollar,2020,234428.1816
Total merchandise exports - monthly,China,World,August,Million US dollar,2019,214873.2868
Total merchandise exports - monthly,China,World,September,Million US dollar,2020,238720.3804
Total merchandise exports - monthly,China,World,September,Million US dollar,2019,218214.8408
Total merchandise exports - monthly,China,World,September,Million US dollar,2018,225398
Total merchandise exports - monthly,China,World,October,Million US dollar,2018,214759
Total merchandise exports - monthly,China,World,October,Million US dollar,2019,212978.5995
Total merchandise exports - monthly,China,World,October,Million US dollar,2020,236246.052
Total merchandise exports - monthly,China,World,November,Million US dollar,2019,221442.325
Total merchandise exports - monthly,China,World,November,Million US dollar,2020,266990.1158
Total merchandise exports - monthly,China,World,November,Million US dollar,2018,224294
Total merchandise exports - monthly,China,World,December,Million US dollar,2018,220850
Total merchandise exports - monthly,China,World,December,Million US dollar,2019,238638.0832
Total merchandise exports - monthly,China,World,December,Million US dollar,2020,281927.7256
Total merchandise exports - monthly,India,World,January,Million US dollar,2018,25406.06035
Total merchandise exports - monthly,India,World,January,Million US dollar,2019,26417.95648
Total merchandise exports - monthly,India,World,January,Million US dollar,2020,25865.92557
Total merchandise exports - monthly,India,World,February,Million US dollar,2020,27726.86278
Total merchandise exports - monthly,India,World,February,Million US dollar,2019,26884.19026
Total merchandise exports - monthly,India,World,February,Million US dollar,2018,26010.18829
Total merchandise exports - monthly,India,World,March,Million US dollar,2018,29305.52532
Total merchandise exports - monthly,India,World,March,Million US dollar,2020,21433.73238
Total merchandise exports - monthly,India,World,March,Million US dollar,2019,32712.60427
Total merchandise exports - monthly,India,World,April,Million US dollar,2019,26045.2178
Total merchandise exports - monthly,India,World,April,Million US dollar,2020,10174.01317
Total merchandise exports - monthly,India,World,April,Million US dollar,2018,25935.00248
Total merchandise exports - monthly,India,World,May,Million US dollar,2018,28957.57643
Total merchandise exports - monthly,India,World,May,Million US dollar,2020,19234.36255
Total merchandise exports - monthly,India,World,May,Million US dollar,2019,29842.79098
Total merchandise exports - monthly,India,World,June,Million US dollar,2019,25046.23068
Total merchandise exports - monthly,India,World,June,Million US dollar,2018,27159.31735
Total merchandise exports - monthly,India,World,June,Million US dollar,2020,22025.74704
Total merchandise exports - monthly,India,World,July,Million US dollar,2020,23779.51733
Total merchandise exports - monthly,India,World,July,Million US dollar,2018,25756.7478
Total merchandise exports - monthly,India,World,July,Million US dollar,2019,26260.05507
Total merchandise exports - monthly,India,World,August,Million US dollar,2019,25976.06003
Total merchandise exports - monthly,India,World,August,Million US dollar,2018,27774.29308
Total merchandise exports - monthly,India,World,August,Million US dollar,2020,22863.16936
Total merchandise exports - monthly,India,World,September,Million US dollar,2020,27553.5953
Total merchandise exports - monthly,India,World,September,Million US dollar,2018,27841.83749
Total merchandise exports - monthly,India,World,September,Million US dollar,2019,26032.7747
Total merchandise exports - monthly,India,World,October,Million US dollar,2019,26244.43508
Total merchandise exports - monthly,India,World,October,Million US dollar,2018,26699.84078
Total merchandise exports - monthly,India,World,October,Million US dollar,2020,24881.80396
Total merchandise exports - monthly,India,World,November,Million US dollar,2020,23543.53952
Total merchandise exports - monthly,India,World,November,Million US dollar,2018,26113.79511
Total merchandise exports - monthly,India,World,November,Million US dollar,2019,25756.25272
Total merchandise exports - monthly,India,World,December,Million US dollar,2019,27121.05444
Total merchandise exports - monthly,India,World,December,Million US dollar,2018,27818.17499
Total merchandise exports - monthly,India,World,December,Million US dollar,2020,27145.1
Total merchandise exports - monthly,Italy,World,January,Million US dollar,2018,42732.818
Total merchandise exports - monthly,Italy,World,January,Million US dollar,2020,40770.3
Total merchandise exports - monthly,Italy,World,January,Million US dollar,2019,41461.99872
Total merchandise exports - monthly,Italy,World,February,Million US dollar,2019,43019.04139
